model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,run_id,stage_status,error,remote_result_dir
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.088748,0.135149,0.118312,0.128817,0.178418,0.217415,0.384531,0.515818,0.693139,0.781337,0.077844,0.170659,0.245509,0.616766,Qwen3-Embedding-0.6B__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.072451,0.115482,0.095562,0.103718,0.137325,0.163498,0.324401,0.44012,0.603842,0.740868,0.068862,0.14521,0.199102,0.540419,Qwen3-Embedding-0.6B__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-7B,Alibaba-NLP/gte-Qwen2-7B-instruct,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-7B__no_instr__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-7B,Alibaba-NLP/gte-Qwen2-7B-instruct,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-7B__general__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-7B,Alibaba-NLP/gte-Qwen2-7B-instruct,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-7B__moral_specific__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-1.5B,Alibaba-NLP/gte-Qwen2-1.5B-instruct,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-1.5B__no_instr__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-1.5B,Alibaba-NLP/gte-Qwen2-1.5B-instruct,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-1.5B__general__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
GTE-Qwen2-1.5B,Alibaba-NLP/gte-Qwen2-1.5B-instruct,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GTE-Qwen2-1.5B__moral_specific__raw,error,load_error: 'Qwen2Config' object has no attribute 'rope_theta',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-en-ICL,BAAI/bge-en-icl,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.123444,0.174472,0.156895,0.168413,0.223453,0.267715,0.414696,0.523852,0.660679,0.76487,0.112275,0.223054,0.290419,0.61976,BGE-en-ICL__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-en-ICL,BAAI/bge-en-icl,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.1337,0.191476,0.174075,0.184157,0.25514,0.285953,0.431936,0.53765,0.68251,0.752495,0.122754,0.251497,0.329341,0.633234,BGE-en-ICL__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-en-ICL,BAAI/bge-en-icl,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.143507,0.207797,0.179659,0.195259,0.23992,0.271981,0.414197,0.521732,0.674227,0.75998,0.14521,0.269461,0.326347,0.607784,BGE-en-ICL__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-en-ICL,BAAI/bge-en-icl,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.153417,0.22122,0.194403,0.206911,0.266317,0.300399,0.440369,0.558383,0.698204,0.774576,0.154192,0.282934,0.356287,0.646707,BGE-en-ICL__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-M3,BAAI/bge-m3,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.075998,0.108931,0.10084,0.098628,0.16018,0.188473,0.338648,0.475449,0.632086,0.762974,0.061377,0.127246,0.20509,0.582335,BGE-M3__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-M3,BAAI/bge-m3,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.051194,0.07925,0.068694,0.073777,0.107759,0.138847,0.281836,0.413997,0.566043,0.684381,0.035928,0.101796,0.143713,0.517964,BGE-M3__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-M3,BAAI/bge-m3,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.038753,0.062229,0.0532,0.053942,0.086153,0.108383,0.222979,0.323653,0.492565,0.636402,0.026946,0.070359,0.11976,0.431138,BGE-M3__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-large-en-v1.5,BAAI/bge-large-en-v1.5,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.053156,0.081141,0.074279,0.093214,0.122879,0.156362,0.289671,0.43226,0.598877,0.721357,0.032934,0.11976,0.164671,0.535928,BGE-large-en-v1.5__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-large-en-v1.5,BAAI/bge-large-en-v1.5,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0356,0.052926,0.047088,0.054017,0.075773,0.083308,0.177196,0.263673,0.464521,0.612824,0.025449,0.067365,0.094311,0.360778,BGE-large-en-v1.5__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-large-en-v1.5,BAAI/bge-large-en-v1.5,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.020051,0.039001,0.030811,0.033308,0.053693,0.070409,0.141692,0.226372,0.406986,0.552894,0.011976,0.046407,0.086826,0.315868,BGE-large-en-v1.5__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-large-en-v1.5,BAAI/bge-large-en-v1.5,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.052868,0.077186,0.073608,0.080813,0.124875,0.136851,0.25267,0.391717,0.563273,0.711352,0.032934,0.100299,0.164671,0.494012,BGE-large-en-v1.5__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.049009,0.075236,0.066136,0.07762,0.104865,0.127869,0.260304,0.387275,0.570359,0.693663,0.035928,0.100299,0.142216,0.48503,BGE-base-en-v1.5__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.031423,0.050188,0.039726,0.036602,0.05766,0.071931,0.176821,0.276771,0.452171,0.598852,0.026946,0.047904,0.077844,0.366766,BGE-base-en-v1.5__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.018473,0.035363,0.027577,0.02732,0.047954,0.05731,0.1251,0.224701,0.383782,0.540544,0.013473,0.040419,0.070359,0.321856,BGE-base-en-v1.5__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.056142,0.083348,0.075381,0.083034,0.120359,0.137176,0.288498,0.405689,0.5625,0.681886,0.041916,0.107784,0.16018,0.508982,BGE-base-en-v1.5__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.047627,0.087947,0.068103,0.071382,0.099726,0.127994,0.225599,0.367116,0.559157,0.709506,0.046407,0.122754,0.157186,0.450599,E5-mistral-7b__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.061301,0.107397,0.085093,0.082285,0.120684,0.144511,0.259681,0.399576,0.589721,0.725474,0.05988,0.136228,0.179641,0.495509,E5-mistral-7b__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-mistral-7b,intfloat/e5-mistral-7b-instruct,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.066464,0.119981,0.092216,0.090544,0.127495,0.148029,0.293688,0.400898,0.583508,0.708982,0.068862,0.157186,0.203593,0.492515,E5-mistral-7b__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-large-v2,intfloat/e5-large-v2,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.081485,0.109946,0.104898,0.118239,0.163149,0.203368,0.3375,0.456761,0.616866,0.722031,0.05988,0.139222,0.199102,0.562874,E5-large-v2__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-large-v2,intfloat/e5-large-v2,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.076656,0.105527,0.099101,0.114895,0.153493,0.179666,0.328967,0.450773,0.596457,0.719286,0.05988,0.140719,0.19012,0.550898,E5-large-v2__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-large-v2,intfloat/e5-large-v2,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.065866,0.096276,0.087604,0.090045,0.136178,0.166342,0.296307,0.405165,0.565943,0.685878,0.050898,0.122754,0.182635,0.51497,E5-large-v2__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-large-v2,intfloat/e5-large-v2,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.088267,0.117416,0.112543,0.135329,0.171482,0.2002,0.336926,0.463473,0.635554,0.736602,0.061377,0.164671,0.211078,0.562874,E5-large-v2__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-base-v2,intfloat/e5-base-v2,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.07241,0.105624,0.092813,0.098403,0.1373,0.169436,0.328418,0.436327,0.615694,0.725724,0.05988,0.127246,0.176647,0.535928,E5-base-v2__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-base-v2,intfloat/e5-base-v2,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.071133,0.102588,0.093304,0.106687,0.144286,0.175399,0.317864,0.447879,0.603293,0.716667,0.053892,0.136228,0.185629,0.553892,E5-base-v2__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-base-v2,intfloat/e5-base-v2,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.051926,0.08221,0.07104,0.074276,0.111003,0.148179,0.266916,0.383658,0.554616,0.683733,0.038922,0.097305,0.166168,0.474551,E5-base-v2__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
E5-base-v2,intfloat/e5-base-v2,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.07407,0.105491,0.094209,0.108558,0.139721,0.169162,0.315344,0.439222,0.604591,0.709556,0.061377,0.134731,0.17515,0.543413,E5-base-v2__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.06838,0.09948,0.094214,0.100898,0.154316,0.188698,0.30766,0.420684,0.581537,0.699251,0.047904,0.136228,0.211078,0.520958,Multilingual-E5-large-instruct__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.076953,0.11393,0.104437,0.117016,0.163897,0.200574,0.336402,0.440893,0.596532,0.704017,0.053892,0.16018,0.226048,0.541916,Multilingual-E5-large-instruct__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.078388,0.120777,0.106404,0.124177,0.161527,0.191841,0.306487,0.414746,0.548728,0.667041,0.065868,0.172156,0.227545,0.511976,Multilingual-E5-large-instruct__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large,intfloat/multilingual-e5-large,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.077695,0.113554,0.09992,0.10993,0.147405,0.176771,0.318288,0.423603,0.575923,0.694935,0.062874,0.146707,0.196108,0.526946,Multilingual-E5-large__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large,intfloat/multilingual-e5-large,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.076616,0.112946,0.096699,0.105788,0.1374,0.167665,0.296008,0.406013,0.557685,0.681437,0.067365,0.143713,0.178144,0.505988,Multilingual-E5-large__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large,intfloat/multilingual-e5-large,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.052697,0.081485,0.070796,0.075,0.107909,0.123129,0.218313,0.313972,0.469461,0.61507,0.043413,0.10479,0.151198,0.408683,Multilingual-E5-large__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Multilingual-E5-large,intfloat/multilingual-e5-large,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.079774,0.116898,0.102024,0.119012,0.149077,0.17515,0.293688,0.418787,0.567241,0.686677,0.070359,0.151198,0.188623,0.519461,Multilingual-E5-large__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-xl,hkunlp/instructor-xl,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.101783,0.146071,0.132462,0.144511,0.198079,0.236751,0.387126,0.523927,0.686053,0.778618,0.085329,0.19012,0.261976,0.624251,Instructor-xl__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-xl,hkunlp/instructor-xl,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.054162,0.08867,0.07442,0.083708,0.114321,0.146981,0.25272,0.35267,0.529491,0.64758,0.043413,0.124251,0.169162,0.449102,Instructor-xl__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-xl,hkunlp/instructor-xl,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.059811,0.098385,0.0802,0.09012,0.115818,0.130414,0.254566,0.366467,0.544985,0.672405,0.052395,0.136228,0.176647,0.47006,Instructor-xl__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-xl,hkunlp/instructor-xl,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.072623,0.108741,0.096036,0.101422,0.143762,0.171208,0.296756,0.429516,0.588922,0.709232,0.056886,0.142216,0.200599,0.537425,Instructor-xl__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-base,hkunlp/instructor-base,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.065636,0.096979,0.09043,0.103518,0.148353,0.178094,0.301522,0.430614,0.591766,0.713199,0.04491,0.134731,0.194611,0.531437,Instructor-base__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-base,hkunlp/instructor-base,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.035298,0.0556,0.049857,0.063249,0.086327,0.108508,0.223428,0.338772,0.522754,0.654865,0.017964,0.077844,0.112275,0.438623,Instructor-base__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-base,hkunlp/instructor-base,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.030783,0.053044,0.043705,0.047455,0.074276,0.094461,0.184381,0.308184,0.490319,0.638423,0.022455,0.064371,0.097305,0.414671,Instructor-base__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Instructor-base,hkunlp/instructor-base,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.03417,0.057644,0.049959,0.056936,0.086727,0.104441,0.217889,0.324301,0.51517,0.667241,0.022455,0.07485,0.116766,0.420659,Instructor-base__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.089848,0.126327,0.117895,0.127221,0.182036,0.218538,0.377595,0.468937,0.616392,0.736826,0.070359,0.167665,0.244012,0.568862,Nomic-Embed-v2-MoE__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.04154,0.063699,0.055127,0.058907,0.084182,0.106562,0.209456,0.313448,0.478343,0.631337,0.031437,0.079341,0.118263,0.402695,Nomic-Embed-v2-MoE__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.042785,0.065252,0.053626,0.058308,0.075524,0.094486,0.184306,0.30746,0.483159,0.609706,0.035928,0.076347,0.103293,0.401198,Nomic-Embed-v2-MoE__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,default,raw,Raw fable text only; no generated summary.,{fable},,,,,0.071222,0.097464,0.093232,0.110329,0.147854,0.181537,0.312625,0.422006,0.578668,0.712725,0.04491,0.134731,0.185629,0.522455,Nomic-Embed-v2-MoE__default__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
NV-Embed-v2,nvidia/NV-Embed-v2,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NV-Embed-v2__no_instr__raw,error,load_error: 'NVEmbedModel' object has no attribute 'all_tied_weights_keys',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
NV-Embed-v2,nvidia/NV-Embed-v2,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NV-Embed-v2__general__raw,error,load_error: 'NVEmbedModel' object has no attribute 'all_tied_weights_keys',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
NV-Embed-v2,nvidia/NV-Embed-v2,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NV-Embed-v2__moral_specific__raw,error,load_error: 'NVEmbedModel' object has no attribute 'all_tied_weights_keys',/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Llama-Embed-Nemotron-8B,nvidia/llama-embed-nemotron-8b,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.046413,0.07389,0.062666,0.072605,0.096981,0.127345,0.233184,0.366791,0.534207,0.671707,0.032934,0.097305,0.134731,0.465569,Llama-Embed-Nemotron-8B__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Llama-Embed-Nemotron-8B,nvidia/llama-embed-nemotron-8b,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.023848,0.044003,0.03667,0.04017,0.066991,0.085504,0.196257,0.293887,0.491866,0.642166,0.010479,0.056886,0.097305,0.389222,Llama-Embed-Nemotron-8B__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
