model_alias,model_hf_id,model_size,instruction_variant,query_instruction,corpus_config,corpus_description,corpus_template,MRR@10,R@1,R@5,R@10,NDCG@10,Mean_Rank,Median_Rank,n_queries,notes
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.271328,0.169252,0.379408,0.466855,0.307425,72.88,13.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.258634,0.173484,0.341326,0.423131,0.288266,101.14,20.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.293282,0.198872,0.38646,0.469676,0.32522,74.61,13.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,raw,raw fable text only,{fable},0.082476,0.040903,0.111425,0.150917,0.089623,197.11,132.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.220586,0.145275,0.286319,0.359661,0.244606,119.42,35.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.219189,0.136812,0.299013,0.359661,0.24305,118.03,32.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.225653,0.146685,0.297602,0.359661,0.247745,110.86,31.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.236206,0.159379,0.308886,0.365303,0.258986,138.03,35.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,default,search_query: ,summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.252393,0.172073,0.327221,0.38646,0.275716,110.31,27.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",raw,raw fable text only,{fable},0.087977,0.050776,0.108604,0.142454,0.091675,185.1,131.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.235567,0.155148,0.317348,0.38787,0.261268,92.51,23.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.25588,0.165021,0.348378,0.425952,0.285969,83.3,17.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.256111,0.166432,0.344147,0.425952,0.286442,81.58,17.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.202584,0.131171,0.269394,0.330042,0.223613,138.98,41.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.25576,0.174894,0.325811,0.410437,0.282711,92.42,22.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,raw,raw fable text only,{fable},0.093338,0.053597,0.124118,0.152327,0.099116,210.52,147.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.21465,0.141044,0.291961,0.362482,0.241249,126.3,37.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.222608,0.145275,0.291961,0.362482,0.245994,122.67,28.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.229506,0.149506,0.313117,0.372355,0.254968,122.15,33.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.230043,0.157969,0.294781,0.358251,0.25216,126.96,39.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,default,query: ,summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.279467,0.197461,0.362482,0.438646,0.309119,100.38,19.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",raw,raw fable text only,{fable},0.088987,0.046544,0.125529,0.163611,0.098378,220.48,161.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.239634,0.166432,0.317348,0.389281,0.266752,125.44,31.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.238617,0.159379,0.310296,0.396333,0.267661,122.2,30.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.231134,0.155148,0.310296,0.373766,0.256177,121.22,31.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.222179,0.155148,0.28914,0.352609,0.245329,137.2,48.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.267789,0.188999,0.345557,0.414669,0.294067,108.05,21.0,709,
BGE-M3,BAAI/bge-m3,,default,,raw,raw fable text only,{fable},0.089027,0.047955,0.105783,0.165021,0.097116,174.58,104.0,709,
BGE-M3,BAAI/bge-m3,,default,,fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.257381,0.174894,0.338505,0.407616,0.28382,97.97,22.0,709,
BGE-M3,BAAI/bge-m3,,default,,fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.249424,0.157969,0.344147,0.425952,0.281983,91.82,19.0,709,
BGE-M3,BAAI/bge-m3,,default,,fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.263634,0.177715,0.344147,0.424542,0.291455,90.91,17.0,709,
BGE-M3,BAAI/bge-m3,,default,,summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.235532,0.157969,0.310296,0.351199,0.254573,130.83,37.0,709,
BGE-M3,BAAI/bge-m3,,default,,summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.276119,0.191819,0.358251,0.428773,0.303554,97.09,19.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,raw,raw fable text only,{fable},0.083859,0.040903,0.110014,0.166432,0.094272,185.0,117.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.220395,0.141044,0.296192,0.365303,0.245007,104.41,28.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.21802,0.133992,0.301834,0.377997,0.245736,96.64,26.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.232844,0.143865,0.330042,0.400564,0.26319,93.36,24.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.242335,0.167842,0.308886,0.370945,0.263705,120.37,30.0,709,
Instructor-base,hkunlp/instructor-base,,default,Represent the moral statement for retrieving relevant fables: ,summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.236561,0.150917,0.318759,0.392102,0.263671,98.03,23.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,raw,raw fable text only,{fable},0.086715,0.049365,0.107193,0.142454,0.090771,195.52,121.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.166489,0.107193,0.205924,0.296192,0.186806,136.56,53.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.168909,0.100141,0.22708,0.296192,0.189824,132.87,56.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.170442,0.101551,0.228491,0.304654,0.192585,133.03,52.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.224454,0.157969,0.279267,0.331453,0.240507,135.27,42.0,709,
E5-base-v2,intfloat/e5-base-v2,,default,query: ,summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.252476,0.169252,0.330042,0.407616,0.280529,107.87,23.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.210713,0.141044,0.283498,0.361072,0.237089,111.25,35.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.359747,0.251058,0.468265,0.578279,0.402914,49.32,6.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.35024,0.235543,0.48237,0.572638,0.394522,49.71,6.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.348126,0.234133,0.465444,0.572638,0.392168,48.5,7.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.303064,0.210155,0.400564,0.489422,0.339095,87.61,12.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.349903,0.236953,0.468265,0.572638,0.393896,51.11,7.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.145494,0.090268,0.19323,0.263752,0.164559,167.13,73.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.309028,0.210155,0.404795,0.488011,0.342085,78.77,12.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.32116,0.221439,0.431594,0.513399,0.359012,77.91,10.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.318651,0.22426,0.423131,0.492243,0.351636,77.44,11.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.296334,0.207334,0.393512,0.466855,0.329608,104.51,15.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.29177,0.200282,0.385049,0.472496,0.325487,84.84,14.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.179986,0.110014,0.235543,0.325811,0.20325,105.0,35.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.328267,0.215797,0.449929,0.544429,0.369727,51.33,8.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.332793,0.22426,0.440056,0.544429,0.372815,51.98,8.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.346068,0.234133,0.472496,0.552891,0.385519,47.31,7.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.295644,0.201693,0.400564,0.473907,0.32914,85.93,13.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.362549,0.255289,0.48378,0.5811,0.405783,49.37,6.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.038727,0.018336,0.043724,0.06347,0.037468,261.64,230.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.101078,0.057828,0.119887,0.186178,0.11149,180.5,102.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.104235,0.056417,0.139633,0.196051,0.116551,178.74,98.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.105723,0.060649,0.133992,0.186178,0.115425,178.57,102.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.167394,0.119887,0.205924,0.246827,0.178248,177.11,93.0,709,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.125214,0.078984,0.165021,0.215797,0.138421,178.48,103.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.105336,0.056417,0.138223,0.184767,0.11388,155.13,89.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.263401,0.16079,0.38787,0.445698,0.297706,79.99,15.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.282671,0.184767,0.389281,0.469676,0.317373,69.72,12.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.293502,0.19323,0.397743,0.472496,0.326798,71.18,13.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.248871,0.170663,0.32158,0.38787,0.273534,118.85,28.0,709,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.287398,0.188999,0.38646,0.466855,0.321031,82.7,13.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.090448,0.055007,0.115656,0.146685,0.095743,213.98,153.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.201914,0.135402,0.262341,0.332863,0.224402,136.81,45.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.208922,0.133992,0.276446,0.339915,0.230444,133.84,34.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.218152,0.149506,0.282087,0.344147,0.239164,135.55,39.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.241444,0.170663,0.314528,0.365303,0.26346,134.54,41.0,709,
Multilingual-E5-large,intfloat/multilingual-e5-large,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.262288,0.184767,0.337094,0.393512,0.285133,112.08,29.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.090142,0.043724,0.122708,0.170663,0.100618,201.41,137.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.251579,0.179126,0.324401,0.397743,0.277914,118.78,27.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.254043,0.173484,0.334274,0.424542,0.286458,115.07,22.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.252979,0.16079,0.351199,0.414669,0.28399,115.34,25.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.270427,0.19464,0.330042,0.416079,0.297055,113.97,25.0,709,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.278849,0.187588,0.373766,0.459803,0.313312,92.56,16.0,709,
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.063235,0.029619,0.080395,0.112835,0.066037,210.65,150.0,709,
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.194008,0.118477,0.270804,0.338505,0.219039,128.42,41.0,709,
BGE-M3,BAAI/bge-m3,,generic,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.205809,0.12835,0.284908,0.35402,0.232587,119.13,40.0,709,
