model_alias,model_id,experiment_id,run_id,task_direction,corpus_config,doc_template,query_instruction_variant_original,query_instruction_group,query_instruction_text,doc_prefix,summary_generator,summary_model_id,summary_prompt_variant,eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,artifact_depth,can_recalculate_from_artifact,needs_model_rerun,notes,source_file
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini,,cot_proverb,709,0.318431,0.222849,0.409027,0.490832,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.309028,0.210155,0.404795,0.488011,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini,,direct_moral,709,0.319882,0.215797,0.435825,0.507757,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_direct__generic,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,direct_moral,709,0.321160,0.221439,0.431594,0.513399,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__raw__default,moral_to_fable,raw,{fable},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,,,,709,0.165869,0.110014,0.214386,0.272214,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__raw__generic,moral_to_fable,raw,{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.145494,0.090268,0.193230,0.263752,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__summary_fable_cot__default,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini,,cot_proverb,709,0.300152,0.205924,0.393512,0.503526,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__summary_fable_cot__generic,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.291770,0.200282,0.385049,0.472496,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__summary_only_cot__default,moral_to_fable,summary_only_cot,{cot_proverb},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini,,cot_proverb,709,0.289746,0.198872,0.394922,0.459803,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__summary_only_cot__generic,moral_to_fable,summary_only_cot,{cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.296334,0.207334,0.393512,0.466855,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__default__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},default,model_default,model default instruction/prefix,,,,,709,0.028500,0.009900,0.038100,0.057800,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_meaning__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},moral_meaning,no_instr,,,,,,709,0.016200,0.005600,0.015500,0.028200,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_task__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},moral_task,no_instr,,,,,,709,0.017300,0.007100,0.019700,0.033900,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__no_instr__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},no_instr,no_instr,,,,,,709,0.029600,0.014100,0.035300,0.053600,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__default__moral->fable_(clean),moral->fable (clean),raw,{fable},default,model_default,model default instruction/prefix,,,,,709,0.065000,0.028200,0.084600,0.131200,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_meaning__moral->fable_(clean),moral->fable (clean),raw,{fable},moral_meaning,no_instr,,,,,,709,0.046700,0.019700,0.053600,0.087400,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_task__moral->fable_(clean),moral->fable (clean),raw,{fable},moral_task,no_instr,,,,,,709,0.042900,0.016900,0.050800,0.079000,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__no_instr__moral->fable_(clean),moral->fable (clean),raw,{fable},no_instr,no_instr,,,,,,709,0.067000,0.025400,0.097300,0.132600,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__default__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},default,model_default,model default instruction/prefix,,,,,709,0.067500,0.032400,0.083200,0.126900,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_meaning__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},moral_meaning,no_instr,,,,,,709,0.048200,0.018300,0.056400,0.087400,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__moral_task__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},moral_task,no_instr,,,,,,709,0.047600,0.021200,0.049400,0.086000,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-large-en-v1.5,BAAI/bge-large-en-v1.5,exp_01,bge-large-en-v1.5__no_instr__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},no_instr,no_instr,,,,,,709,0.065900,0.032400,0.081800,0.117100,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
bge-m3,BAAI/bge-m3,exp_02,bge-m3__plain,moral_to_fable,raw,{fable},plain,no_instr,,,,,,709,0.088894,0.047955,0.104372,0.169252,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,no_instr,,,Gemini,,conceptual_abstract,709,0.263634,0.177715,0.344147,0.424542,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,conceptual_abstract,709,0.202140,0.128350,0.272214,0.356841,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,no_instr,,,Gemini,,cot_proverb,709,0.257381,0.174894,0.338505,0.407616,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.194008,0.118477,0.270804,0.338505,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,no_instr,,,Gemini,,direct_moral,709,0.249424,0.157969,0.344147,0.425952,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__fable_direct__generic,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,direct_moral,709,0.205809,0.128350,0.284908,0.354020,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__raw__default,moral_to_fable,raw,{fable},default,no_instr,,,,,,709,0.089027,0.047955,0.105783,0.165021,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__raw__generic,moral_to_fable,raw,{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.063235,0.029619,0.080395,0.112835,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__summary_fable_cot__default,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},default,no_instr,,,Gemini,,cot_proverb,709,0.276119,0.191819,0.358251,0.428773,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__summary_fable_cot__generic,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.216154,0.141044,0.297602,0.362482,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__summary_only_cot__default,moral_to_fable,summary_only_cot,{cot_proverb},default,no_instr,,,Gemini,,cot_proverb,709,0.235532,0.157969,0.310296,0.351199,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-M3,BAAI/bge-m3,exp_12,BGE-M3__summary_only_cot__generic,moral_to_fable,summary_only_cot,{cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,cot_proverb,709,0.223197,0.163611,0.277856,0.325811,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
contriever,facebook/contriever,exp_02,contriever__plain,moral_to_fable,raw,{fable},plain,no_instr,,,,,,709,0.083705,0.040903,0.122708,0.166432,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
drama,facebook/drama-1b,exp_02,drama__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.084990,0.043724,0.105783,0.165021,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
drama,facebook/drama-1b,exp_02,drama__prompted,moral_to_fable,raw,{fable},prompted,prompt_name,prompt_name: query,,,,,709,0.091843,0.047955,0.118477,0.176305,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
e5-base,intfloat/e5-base-v2,exp_02,e5-base__plain,moral_to_fable,raw,{fable},plain,plain_or_model_native,query: ,passage: ,,,,709,0.086181,0.047955,0.110014,0.143865,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,model_default,query: ,passage: ,Gemini,,conceptual_abstract,709,0.170442,0.101551,0.228491,0.304654,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,conceptual_abstract,709,0.186593,0.122708,0.245416,0.310296,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_cot__default,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},default,model_default,query: ,passage: ,Gemini,,cot_proverb,709,0.166489,0.107193,0.205924,0.296192,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_cot__generic,moral_to_fable,fable_cot,{fable}\n\nMoral summary: {cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,cot_proverb,709,0.174436,0.111425,0.232722,0.308886,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_direct__default,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},default,model_default,query: ,passage: ,Gemini,,direct_moral,709,0.168909,0.100141,0.227080,0.296192,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__fable_direct__generic,moral_to_fable,fable_direct,{fable}\n\nMoral summary: {direct_moral},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,direct_moral,709,0.178844,0.108604,0.244006,0.299013,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__raw__default,moral_to_fable,raw,{fable},default,model_default,query: ,passage: ,,,,709,0.086715,0.049365,0.107193,0.142454,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__raw__generic,moral_to_fable,raw,{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,,,,709,0.084113,0.045134,0.105783,0.149506,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__summary_fable_cot__default,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},default,model_default,query: ,passage: ,Gemini,,cot_proverb,709,0.252476,0.169252,0.330042,0.407616,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__summary_fable_cot__generic,moral_to_fable,summary_fable_cot,Moral summary: {cot_proverb}\n\n{fable},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,cot_proverb,709,0.254940,0.173484,0.341326,0.411848,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__summary_only_cot__default,moral_to_fable,summary_only_cot,{cot_proverb},default,model_default,query: ,passage: ,Gemini,,cot_proverb,709,0.224454,0.157969,0.279267,0.331453,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
E5-base-v2,intfloat/e5-base-v2,exp_12,E5-base-v2__summary_only_cot__generic,moral_to_fable,summary_only_cot,{cot_proverb},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",passage: ,Gemini,,cot_proverb,709,0.226524,0.162200,0.280677,0.338505,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__default__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},default,model_default,model default instruction/prefix,,,,,709,0.037800,0.014100,0.050800,0.083200,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__no_prefix__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},no_prefix,no_instr,,,,,,709,0.045500,0.025400,0.055000,0.071900,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__default__moral->fable_(clean),moral->fable (clean),raw,{fable},default,model_default,model default instruction/prefix,,,,,709,0.101700,0.056400,0.135400,0.177700,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__no_prefix__moral->fable_(clean),moral->fable (clean),raw,{fable},no_prefix,no_instr,,,,,,709,0.094800,0.053600,0.118500,0.163600,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__default__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},default,model_default,model default instruction/prefix,,,,,709,0.074400,0.029600,0.105800,0.159400,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-large-v2,intfloat/e5-large-v2,exp_01,e5-large-v2__no_prefix__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},no_prefix,no_instr,,,,,,709,0.080000,0.043700,0.101600,0.145300,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/improved_retrieval_results.json
e5-mistral-7b,intfloat/e5-mistral-7b-instruct,exp_02,e5-mistral-7b__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.145910,0.090268,0.193230,0.239774,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
e5-mistral-7b,intfloat/e5-mistral-7b-instruct,exp_02,e5-mistral-7b__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.100199,0.052186,0.142454,0.188999,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
e5-mistral-7b,intfloat/e5-mistral-7b-instruct,exp_02,e5-mistral-7b__specific,moral_to_fable,raw,{fable},specific,specific,"Instruct: Given a moral principle or lesson, retrieve the fable that illustrates it\nQuery: ",,,,,709,0.051967,0.022567,0.064880,0.088858,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
EmbeddingGemma-300M,google/embeddinggemma-300m,exp_11,EmbeddingGemma-300M,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},no_instr,no_instr,,,Gemini/Gemma summary field,,existing_summary_field,,,,,,error_result,,no,yes,You are trying to access a gated repo.\nMake sure to have access to it at https://huggingface.co/google/embeddinggemma-300m.\n401 Client Error. (Request ID: Root=1-69ef4b09-5e4fbfb07093fb2303e71dcd;98218245-41b3-48ba-9586-66161d4e7033)\n\nCannot access gated repo for url https://huggingface.co/google/embeddinggemma-300m/resolve/main/config.json.\nAccess to model google/embeddinggemma-300m is restricted. You must have access to it and be authenticated to access it. Please log in.,experiments/11_embedding_baselines/results/2026-04-27_14-49-59_EmbeddingGemma-300M_Llama-Embed-Nemotron-8B.json
GritLM-7B,GritLM/GritLM-7B,exp_11,GritLM-7B,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"<|user|>\nGiven a moral statement, retrieve the fable that best conveys this moral.\n<|embed|>\n",,Gemini/Gemma summary field,,existing_summary_field,,,,,,config_only,,no,yes,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/config.yaml
gte-qwen2-1.5b,Alibaba-NLP/gte-Qwen2-1.5B-instruct,exp_02,gte-qwen2-1.5b__general,moral_to_fable,raw,{fable},general,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,,,,709,0.080615,0.040903,0.104372,0.148096,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
gte-qwen2-1.5b,Alibaba-NLP/gte-Qwen2-1.5B-instruct,exp_02,gte-qwen2-1.5b__no_instr,moral_to_fable,raw,{fable},no_instr,no_instr,,,,,,709,0.056056,0.025388,0.067701,0.101551,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
gte-qwen2-1.5b,Alibaba-NLP/gte-Qwen2-1.5B-instruct,exp_02,gte-qwen2-1.5b__specific,moral_to_fable,raw,{fable},specific,specific,"Instruct: Given a moral principle or lesson, retrieve the fable that illustrates it\nQuery: ",,,,,709,0.064312,0.026798,0.083216,0.126939,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
