status,scope,experiment_id,experiment_name,run_id,run_date,result_level,task_direction,retrieval_backend,retrieval_model,retrieval_model_id,generator_model,generator_model_id,training_data,n_train,train_doc_mode,eval_doc_mode,corpus_config,corpus_type,instruction_variant,prompt_variant,folds,eval_n,MRR@10,R@1,R@5,R@10,NDCG@10,Mean_Rank,Median_Rank,R@50,NDCG@50,notes,source_file
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-2b__direct,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-2b,,,,,fable_plus_summary,approach_B,fable_summary,,direct,,709,0.1257,0.0776,0.1566,0.2172,0.1372,173.8,87,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-2b__few_shot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-2b,,,,,fable_plus_summary,approach_B,fable_summary,,few_shot,,709,0.0802,0.0437,0.1114,0.1425,0.0881,248.3,202,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-4b__cot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-4b,,,,,fable_plus_summary,approach_B,fable_summary,,cot,,709,0.1666,0.103,0.2172,0.2863,0.1853,155.4,50,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-4b__detailed,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-4b,,,,,fable_plus_summary,approach_B,fable_summary,,detailed,,709,0.1781,0.1058,0.237,0.3258,0.203,126.2,39,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-4b__direct,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-4b,,,,,fable_plus_summary,approach_B,fable_summary,,direct,,709,0.1708,0.1001,0.2313,0.3075,0.1933,134.2,50,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-4b__few_shot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-4b,,,,,fable_plus_summary,approach_B,fable_summary,,few_shot,,709,0.1407,0.0818,0.189,0.2341,0.1523,141.5,65,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-9b__cot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-9b,,,,,fable_plus_summary,approach_B,fable_summary,,cot,,709,0.215,0.141,0.2793,0.3611,0.2405,125.9,34,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-9b__detailed,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-9b,,,,,fable_plus_summary,approach_B,fable_summary,,detailed,,709,0.1956,0.1213,0.2638,0.3371,0.2184,107.6,31,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-9b__direct,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-9b,,,,,fable_plus_summary,approach_B,fable_summary,,direct,,709,0.2043,0.1269,0.2722,0.3597,0.2309,115.9,30,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-9b__few_shot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-9b,,,,,fable_plus_summary,approach_B,fable_summary,,few_shot,,709,0.1828,0.1086,0.2412,0.3188,0.2036,117.1,33,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,raw_fable__-,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,,,,,raw,raw,raw,,,,709,0.2105,0.141,0.2821,0.3639,0.2377,111.2,36,,,Baseline row included by source CSV.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_05,Qwen3 embedding instruction steering,8B__abstract,2026-03-28 19:45:55,full_709,moral_to_fable,embedding,8B,Qwen/Qwen3-Embedding-8B,,,,,,raw,raw,,abstract,,,5,0.249272,0.2,0.2,0.4,0.271241,41.2,27,0.8,0.354014,prompt_repeat=; embedding_dim=4096,experiments/05_qwen3_embedding/results/2026-03-28_19-45-55/results.json
completed,MORABLES,exp_05,Qwen3 embedding instruction steering,8B__analytical,2026-03-28 19:45:55,full_709,moral_to_fable,embedding,8B,Qwen/Qwen3-Embedding-8B,,,,,,raw,raw,,analytical,,,5,0.262785,0.2,0.4,0.4,0.286135,49,28,0.8,0.363513,prompt_repeat=; embedding_dim=4096,experiments/05_qwen3_embedding/results/2026-03-28_19-45-55/results.json
completed,MORABLES,exp_05,Qwen3 embedding instruction steering,8B__baseline,2026-03-28 19:45:55,full_709,moral_to_fable,embedding,8B,Qwen/Qwen3-Embedding-8B,,,,,,raw,raw,,baseline,,,5,0.304529,0.2,0.4,0.4,0.326186,99,77,0.4,0.326186,prompt_repeat=; embedding_dim=4096,experiments/05_qwen3_embedding/results/2026-03-28_19-45-55/results.json
