area,experiment_id,experiment_group,existing_result_artifacts,ranking_artifact_status,clustered_update_mode,can_recalculate_now,must_rerun_for_official_clustered_results,next_action_after_final_review,priority,notes
reranking,exp_04,LLM reranking,"experiments/04_llm_reranking/results/llm_reranking_results.json","Aggregate JSON only; no rankings found","rerun_reranking",no,yes,"Rerun only if reranking remains part of the final story.",low,"Potentially expensive depending on reranker/LLM usage."
query_expansion,exp_08,Symmetric moral matching pilots,"experiments/08_symmetric_moral_matching/results/generation_runs/*/retrieval_results.json; query_expansions.json; corpus_summaries.json","Sample10/sample50 aggregate metrics only","rerun_or_ignore_sample_pilots",no,yes_if_needed,"Do not prioritize unless we want clustered pilot numbers; full 709 was not completed.",low,"Sample-only pilots are not central to final full benchmark."
llm_retrieval,llm_openai_batch,GPT-5.4-Nano minimal batch 709,"llm_retrieval/results/batches/merged/2026-05-15_GPT-5.4-Nano_minimal_batch_n709_rows.csv; summary.json","Top-10 ranked IDs saved per original 709 moral","partial_top10_recalculation",partial,yes_for_official_unique_queries_or_depth_gt10,"Recalculate top-10 clustered metrics from rows.csv now; rerun batch after final review if we need official 668-query prompts or ranks beyond 10.",high,"Can compute MRR@10/MAP@10/Hit@10/Recall@10 only. Cannot compute Recall@100/200/300 from top-10 LLM outputs."
llm_retrieval,llm_gemini_batch,Gemini 3.1 Flash Lite Preview minimal batch 709,"llm_retrieval/results/gemini_batches/2026-05-16_Gemini-3.1-Flash-Lite-Preview_minimal_batch_n709/rows.csv; summary.json","Top-10 ranked IDs saved per original 709 moral","partial_top10_recalculation",partial,yes_for_official_unique_queries_or_depth_gt10,"Recalculate top-10 clustered metrics from rows.csv now; rerun batch after final review if we need official 668-query prompts or ranks beyond 10.",high,"Same limitation as GPT batch. Batch rerun should use minimal prompt and final unique moral query set."
llm_retrieval,llm_single_runs,LLM retrieval smoke/single runs,"llm_retrieval/results/runs/*.csv; llm_retrieval/results/comparisons/*.csv","Top-10 or small-run rows only","partial_or_ignore",partial,yes_if_promoted_to_full,"Use only for debugging/history; rerun official models on final data if needed.",low,"Do not use smoke runs as final benchmark."
finetuning,ft_00,Overfit sanity,"finetuning/ft_00_overfit/results/*.json; local model exists","No rankings; model artifact exists","reevaluate_existing_model",no,yes_eval_only,"Probably do not spend time except as sanity check.",low,"No retraining needed unless sanity script itself changes."
finetuning,ft_01,BGE 5-fold CV,"finetuning/ft_01_5fold_cv/results/*.json; local final fold models exist","No rankings; local model weights exist for folds 0-4","reevaluate_existing_models",no,yes_eval_only,"After final clusters, re-evaluate saved fold models with clustered qrels. Do not retrain for old-objective comparison.",medium,"For a true cluster-aware training claim, create a new clustered CV experiment split by cluster."
finetuning,ft_02,LINQ 5-fold CV,"finetuning/ft_02_linq_5fold_cv/results/*.json","No rankings; local model weights not found in current workspace","pull_or_retrain_then_evaluate",no,yes_eval_or_pull,"First try pulling model weights from remote/long-term storage; otherwise retrain or skip in favor of ft_07.",medium,"Important historical LINQ result, but local artifacts appear incomplete."
finetuning,ft_03,Hard negative variants,"finetuning/ft_03_hard_neg/results/*.json","No rankings; local model weights not found","pull_or_retrain_then_evaluate",no,yes_eval_or_pull,"Re-evaluate only if model weights can be recovered. Otherwise rerun selected best variants after final data.",medium,"Do not rerun every variant until final data is frozen."
finetuning,ft_04,STORAL augment fold0,"finetuning/ft_04_storal_augment/results/*.json","No rankings; local model weights not found","pull_or_retrain_then_evaluate",no,yes_eval_or_pull,"Low priority unless STORAL augment is discussed separately.",low,"Fold0-only result."
finetuning,ft_05,Mixing ratio fold0,"finetuning/ft_05_mixing_ratio/results/*.json; local ratio models exist","No rankings; local model weights exist for ratio_0/200/500/1000/1675","reevaluate_existing_models",no,yes_eval_only,"Re-evaluate local models on clustered qrels if mixing-ratio story remains useful.",medium,"No retraining required for old trained models."
finetuning,ft_06,Random search,"finetuning/ft_06_random_search/cache/models; config.yaml","Some local model artifacts; no consolidated result JSON in master","evaluate_or_mark_incomplete",no,yes_eval_only_if_kept,"Decide whether this is exploratory only. If kept, evaluate local models on final clustered benchmark.",low,"Master ledger marks no completed results file."
finetuning,ft_07,STORAL transfer best models,"finetuning/ft_07_storal_transfer/results/*.json","No rankings; local model weights not found in current workspace","pull_or_retrain_then_evaluate",no,yes_eval_or_pull,"Highest priority fine-tuned rerun: recover/pull ft07 LINQ s500/sfull models and re-evaluate on clustered qrels.",high,"This includes the previous best LINQ model. Existing results alone cannot be metric-recalculated."
finetuning,ft_08,Clean sanity,"finetuning/ft_08_clean_sanity/config.yaml","Planned/no completed result found","run_after_final_data_if_needed",no,yes_training_if_kept,"Only run if clean-vs-noisy sanity remains needed after final cluster review.",low,"No existing result to recalculate."
finetuning,ft_09,False-negative masking,"finetuning/ft_09_fn_masking/results/*.json","No rankings; local model weights not found","pull_or_retrain_then_evaluate",no,yes_eval_or_pull,"Recover model weights if possible; otherwise rerun after final data if this method remains competitive.",medium,"Relevant to cluster-aware false negatives, so worth revisiting after data freeze."
finetuning,ft_10,IdioLink transfer option A,"finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/*.csv; local BGE-M3 models exist","Mostly external-transfer results; no MORABLES rankings found","optional_reevaluate",no,yes_eval_only_if_kept,"Optional; not central unless IdioLink transfer is in final thesis experiments.",low,"Option B/C/D are planned but not completed."
analysis,analysis_01_07,Post-hoc analyses for ft07 LINQ fable+summary,"analysis/*/results/ft07-linq-s500-fable+summary","Derived old-benchmark analysis outputs, not source rankings","rerun_analysis_after_clustered_eval",no,yes_after_new_metrics,"Rerun after the final clustered ft07 evaluation exists.",medium,"The previous soft-MRR/ambiguity analysis is superseded by explicit clustered qrels."
future,planned_future,Future planned experiments,"docs/next_steps.md; docs/future_directions.md; docs/exp14_finetuning_plan.md","Not run","not_applicable",no,yes_training_or_new_experiment,"After data freeze, decide which planned experiments still matter: cluster-aware 5FCV, cross-encoder, HyDE, ColBERT, projection layer.",medium,"Do not start new training until the final reviewer finishes cluster data."
