similarity,tier,moral_a,fable_a_id,fable_a_title,moral_b,fable_b_id,fable_b_title
0.9219,high,False confidence often leads into danger.,fable_0330,"The Lion, The Rooster And The Donkey",Overconfidence often leads people into danger.,fable_0504,The Rooster And The Cats
0.9216,high,Someone who lays a trap for others will fall victim to it himself.,fable_0204,The Bird Catcher And The Partridge,People who lay traps for others bring about their own destruction.,fable_0317,The Goat And The Donkey
0.9213,high,One good turn deserves another.,fable_0091,The Serpent and the Eagle,One bad turn deserves another.,fable_0243,The Fox And The Stork
0.9207,high,People often grudge others what they cannot enjoy themselves.,fable_0030,The Dog in the Manger,Some begrudge others what they cannot enjoy themselves.,fable_0483,The Dog In The Manger
0.9198,high,People who grasp for more than they need are deprived of what they have.,fable_0235,Zeus And The Camel,People who grasp at more than they need lose the little that they held in their hands.,fable_0404,The Widow And Her Hen
0.9185,high,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.9167,high,Do not attempt the impossible.,fable_0183,The Frog And The Ox,"You must not act unnaturally, trying to achieve some impossible thing.",fable_0264,The Donkey And The Cricket
0.9127,high,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fable_0140,The Bird Catcher And The Viper,Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk
0.9100,high,Be content with your lot; one cannot be first in everything.,fable_0085,The Peacock and Juno,Be content with your lot.,fable_0691,A Pike sets up for Sovereignty
0.9087,high,Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion",Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk
0.9070,high,Do not boast to have something you do not.,fable_0271,"The Crow, The Eagle And The Feathers",Do not boast lest you be taken down.,fable_0598,The Lamp
0.9050,high,Do not grasp at more than you need.,fable_0298,"The Dog, The Meat And The Reflection",Do not take on more than you can handle.,fable_0350,The Lion And The Farmer
0.9022,high,He that is neither one thing nor the other has no friends.,fable_0013,"The Bat, the Birds and the Beasts","He that has many friends, has no friends.",fable_0053,The Hare With Many Friends
0.9009,high,Old friends should not be sacrificed for new ones.,fable_0049,The Goatherd and the Wild Goats,Do not neglect the loyalty of old friends to please new acquaintances.,fable_0595,"The Lion, The Fox and the Monkey serving dinner"
0.9000,med-high,We must make friends in prosperity if we would have their help in adversity.,fable_0528,The Kite And His Mother,Seek the friendship of those who do not withdraw from offering help even in a time of adversity.,fable_0702,A Lion and a Hog
0.8979,med-high,Those who do you a favour you must repay kind.,fable_0250,The Eagle And The Farmer,We should do favours for someone who can do us a good deed in return.,fable_0367,"The Man, The Mare And The Foal"
0.8979,med-high,People are quick to promise but reluctant to give.,fable_0320,"The Donkey, The Horse And The Barley","People are often quick to make promises, but they do not really expect to have to fulfill them.",fable_0521,The Sick Man And His Wife
0.8974,med-high,Old friends should not be sacrificed for new ones.,fable_0049,The Goatherd and the Wild Goats,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs"
0.8973,med-high,People who lay traps for others bring about their own destruction.,fable_0317,The Goat And The Donkey,Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion"
0.8962,med-high,"There is little risk in being poor, while being rich can get you into trouble.",fable_0447,The Two Mules,The life of the poor is often safer than the life of the rich.,fable_0631,Capons Fat and Lean
0.8957,med-high,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,Greed for more can lead to losing what you already have.,fable_0332,The Jackdaw And The Doves
0.8951,med-high,Do not trust the wicked.,fable_0121,The Abbot And The Flea,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs
0.8950,med-high,Be yourself and don't pretend to be someone you're not.,fable_0485,The Lion And The Horse,"Do not be what you are not, nor pretend to be what you are not",fable_0530,"The Farmers, The Donkey And The Lion Skin"
0.8950,med-high,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs"
0.8937,med-high,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8936,med-high,Tyrants need no excuse.,fable_0238,The Cat And The Rooster,Any excuse will serve a tyrant.,fable_0545,The Wolf and the Lamb
0.8934,med-high,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog",Do not believe everything you hear.,fable_0486,The Wolf And The Nurse
0.8926,med-high,Old friends should not be sacrificed for new ones.,fable_0049,The Goatherd and the Wild Goats,Don't take your friends for foes.,fable_0194,The Bees And The Beekeeper
0.8918,med-high,Do not grasp at more than you need.,fable_0298,"The Dog, The Meat And The Reflection",Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
0.8913,med-high,Favor those who do you kindness.,fable_0247,"The Two Men, The Eagle And The Fox",We should do favours for someone who can do us a good deed in return.,fable_0367,"The Man, The Mare And The Foal"
0.8906,med-high,"Better poverty without care, than riches with.",fable_0220,The Fir Tree And The Bramble Bush,It is better to live in self-sufficient poverty than to be tormented by the worries of wealth.,fable_0252,The City Mouse And The Country Mouse
0.8902,med-high,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher",People who lay traps for others bring about their own destruction.,fable_0317,The Goat And The Donkey
0.8895,med-high,Someone who lays a trap for others will fall victim to it himself.,fable_0204,The Bird Catcher And The Partridge,Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk
0.8894,med-high,Greed often overreaches itself.,fable_0050,The Goose With the Golden Eggs,Greed can lead to ruin.,fable_0305,The Dog And The Treasure
0.8884,med-high,Stay vigilant and think before you speak.,fable_0382,The Fox And The Partridge,It's wise to think before we speak.,fable_0626,A Country-man and a Hawk
0.8868,med-high,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer",Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8861,med-high,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fable_0140,The Bird Catcher And The Viper,Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion"
0.8855,med-high,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,Don't take your friends for foes.,fable_0194,The Bees And The Beekeeper
0.8852,med-high,Don't judge character by appearance.,fable_0546,The Butcher and the Ape,"People should not be judged by their appearances, but by their actions.",fable_0685,A Wolfe in a Sheeps-Skin
0.8852,med-high,"There is no believing a liar, even when he speaks the truth.",fable_0094,The Shepherd's Boy and the Wolf,A liar deceives no one but himself.,fable_0095,The Shipwrecked Impostor
0.8850,med-high,People with a history of wrongdoing are often not trusted.,fable_0344,"The Farmer, The Wolf And The Plow",One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd
0.8850,med-high,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8844,med-high,Familiarity mollifies even the most terrifying things.,fable_0234,The Camel And The People,Familiarity makes it easy to confront even frightening situations.,fable_0385,The Fox And The Lion
0.8830,med-high,People who lay traps for others bring about their own destruction.,fable_0317,The Goat And The Donkey,People who do harm to others destroy themselves in the bargain.,fable_0390,The Frog And The Mouse
0.8827,med-high,Do not fight with those who are perfectly capable of fighting back.,fable_0664,A Husband and Wife twice Married,We should not pick fights with people stronger than we are.,fable_0688,A Bull and a Ram
0.8825,med-high,Know your enemies.,fable_0562,The Cat and The Birds,Pick your enemies.,fable_0619,The Crow and The Sheep
0.8819,med-high,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher",Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion"
0.8814,med-high,Favor those who do you kindness.,fable_0247,"The Two Men, The Eagle And The Fox",Those who do you a favour you must repay kind.,fable_0250,The Eagle And The Farmer
0.8811,med-high,"When we form friendships with one another, we must choose allies who can come to our aid in moments of peril.",fable_0227,The Dolphin And The Lion,We must make friends in prosperity if we would have their help in adversity.,fable_0528,The Kite And His Mother
0.8808,med-high,Do not trust the wicked.,fable_0121,The Abbot And The Flea,Do not believe those who have ill intentions.,fable_0291,"The Fox, The Lamb And The Dog"
0.8807,med-high,Try to please all and you end by pleasing none.,fable_0078,"The Miller, His Son, and Their Ass",Those who seek to please everybody please nobody.,fable_0187,The Bald Man And His Two Mistresses
0.8802,med-high,Do not trust the wicked.,fable_0121,The Abbot And The Flea,The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8802,med-high,Do not attempt too much at once.,fable_0019,The Boy and the Filberts,Do not grasp at more than you need.,fable_0298,"The Dog, The Meat And The Reflection"
0.8787,med-high,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs,The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8774,med-high,The greatest kindness will not bind the ungrateful.,fable_0034,The Farmer and the Snake,Kindness is never wasted.,fable_0560,The Magic Colours
0.8774,med-high,Do not attempt too much at once.,fable_0019,The Boy and the Filberts,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
0.8773,med-high,False men cannot be trusted.,fable_0473,The Shepherd And The Wolf Cub,The word of a wicked man can never be trusted.,fable_0531,The Wolf And The Donkey
0.8773,med-high,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,Indulgence in luxuries can lead to peril.,fable_0516,The Mouse In The Pot
0.8760,med-high,Vanity can lead to self-destruction.,fable_0267,"The Birds, The Peacock And His Feathers",Vanity can blind one to their true worth in the eyes of others.,fable_0406,Hermes And The Statues
0.8758,med-high,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs,It is more honorable to die having achieved noble deeds than to live a life of vice.,fable_0661,A Horse and a Hog
0.8757,med-high,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,Even those who work hard may find their material wealth undone by the greed of others.,fable_0482,The Ants And The Pigs
0.8757,med-high,The greatest kindness will not bind the ungrateful.,fable_0034,The Farmer and the Snake,"Gratitude should be shown through kindness, not harm.",fable_0139,The Nut Tree And The People
0.8757,med-high,Greed can lead to ruin.,fable_0305,The Dog And The Treasure,A life of greed and hoarding wealth leads to misery.,fable_0333,The Fox And The Dragon
0.8751,med-high,To be satisfied with one's lot is better than to desire something which one is not fitted to receive.,fable_0005,The Ass and the Lapdog,Be content with your lot; one cannot be first in everything.,fable_0085,The Peacock and Juno
0.8751,med-high,Try to please all and you end by pleasing none.,fable_0078,"The Miller, His Son, and Their Ass",You can't please everybody.,fable_0277,The Woman And Her Two Daughters
0.8750,med-high,No gratitude from the wicked.,fable_0118,The Woodman and the Serpent,Expect no reward for serving the wicked.,fable_0182,The Wolf And The Crane
0.8731,med-high,Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer
0.8729,med-high,Better to endure a small hardship than risk a greater one.,fable_0552,The Frogs asking for a King,It is better to endure short-term struggles for long-term benefits than the other way around.,fable_0606,Prometheus and the two roads
0.8728,med-high,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs",Do not neglect the loyalty of old friends to please new acquaintances.,fable_0595,"The Lion, The Fox and the Monkey serving dinner"
0.8727,med-high,Obscurity often brings safety.,fable_0105,The Tree and the Reed,Humble commonalty easily finds safety in obscurity.,fable_0549,The Battle of the Mice and the Weasels
0.8723,med-high,Greed often overreaches itself.,fable_0050,The Goose With the Golden Eggs,Greed for more can lead to losing what you already have.,fable_0332,The Jackdaw And The Doves
0.8722,med-high,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs","Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",fable_0420,The Lion And The Unicorn
0.8721,med-high,Do not trust the wicked.,fable_0121,The Abbot And The Flea,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd
0.8718,med-high,"Unity is strength, while division invites defeat.",fable_0228,The Two Bulls And The Lion,"Unity is mankind's greatest good, while dissension is a weak and slavish thing",fable_0487,The Dogs And Their Commander
0.8715,med-high,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs",Do not fight with those who are perfectly capable of fighting back.,fable_0664,A Husband and Wife twice Married
0.8714,med-high,Do not attempt too much at once.,fable_0019,The Boy and the Filberts,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer
0.8713,med-high,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle,Don't promise more than you can deliver.,fable_0662,A Hunts-man and a Currier
0.8711,med-high,People often grasp for more than they need and thus lose the little they have.,fable_0181,The Man And The Golden Eggs,Those who are not content with what they have may end up losing it while pursuing greater desires.,fable_0279,"The Lion, The Hare And The Deer"
0.8707,med-high,To be satisfied with one's lot is better than to desire something which one is not fitted to receive.,fable_0005,The Ass and the Lapdog,Be content with your lot.,fable_0691,A Pike sets up for Sovereignty
0.8707,med-high,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs,The life of the poor is often safer than the life of the rich.,fable_0631,Capons Fat and Lean
0.8707,med-high,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,Do not fight with those who are perfectly capable of fighting back.,fable_0664,A Husband and Wife twice Married
0.8705,med-high,Contentment with our lot is an element of happiness.,fable_0260,The Crab On Dry Land,Be content with your lot.,fable_0691,A Pike sets up for Sovereignty
0.8704,med-high,Know your enemies.,fable_0562,The Cat and The Birds,Watch the actions of your enemy.,fable_0590,The Sun and the Frogs
0.8699,med-high,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer,Don't go to extremes.,fable_0559,The Gardener and His Master
0.8696,med-high,It is a foolish man who wants to rival his superiors.,fable_0290,The Dog And The Lion,He who competes with his superiors destroys himself before he can equal them.,fable_0342,The Earthworm And The Snake
0.8694,med-high,Those who do you a favour you must repay kind.,fable_0250,The Eagle And The Farmer,People who have been treated with contempt repay the deed in kind.,fable_0454,The Panther And The People
0.8693,med-high,False men cannot be trusted.,fable_0473,The Shepherd And The Wolf Cub,Falsehood is with all men.,fable_0601,Truth and The Traveler
0.8692,med-high,Inner beauty is better than outer beauty.,fable_0221,The Children And The Mirror,Beauty is in the eyes of the beholder.,fable_0500,The Beauty Contest Of The Animals
0.8690,med-high,People who grasp for more than they need are deprived of what they have.,fable_0235,Zeus And The Camel,Those who are not content with what they have may end up losing it while pursuing greater desires.,fable_0279,"The Lion, The Hare And The Deer"
0.8689,med-high,Vanity betrays every fraud.,fable_0269,Hermes And Tiresias,Vanity can blind one to their true worth in the eyes of others.,fable_0406,Hermes And The Statues
0.8681,med-high,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs,Never trust a known deceiver.,fable_0594,"The Lion, The Fox and the Deer"
0.8674,med-high,Don't judge character by appearance.,fable_0546,The Butcher and the Ape,"People are to be judged by their actions, not by their appearance.",fable_0677,A Cat and Mice
0.8673,med-high,False confidence often leads into danger.,fable_0330,"The Lion, The Rooster And The Donkey",Better to face a known danger than to trust a deceitful promise of safety.,fable_0582,The Wolf and the Sheep in the Sheepfold
0.8672,med-high,It is better to live in self-sufficient poverty than to be tormented by the worries of wealth.,fable_0252,The City Mouse And The Country Mouse,A humble life free from danger is more valuable than a life of luxury filled with peril.,fable_0592,The Circus Dogs and the Street Dogs
0.8671,med-high,People who lay traps for others bring about their own destruction.,fable_0317,The Goat And The Donkey,Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk
0.8670,med-high,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",fable_0405,The Hen And The Eggs,One should never trust those with a history of deceit.,fable_0459,The Wolf And The Shepherd
0.8666,med-high,Don't take your friends for foes.,fable_0194,The Bees And The Beekeeper,Do not fight with those who are perfectly capable of fighting back.,fable_0664,A Husband and Wife twice Married
0.8665,med-high,False men cannot be trusted.,fable_0473,The Shepherd And The Wolf Cub,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.8663,med-high,"One is known by deeds, not by words.",fable_0499,The Bear And The Fox,"Pay attention to deeds, not words.",fable_0534,The Bird Catcher And The Cricket
0.8662,med-high,Those who scheme against others may ultimately fall victim to their own plots.,fable_0402,The Roosters And The Hawk,People often make plans that turn out to be to their own disadvantage.,fable_0435,The Maids And The Rooster
0.8655,med-high,"Sometimes, the greatest threats come from those you trust.",fable_0399,The Halcyon And The Sea,An enemy is most dangerous when offering you help.,fable_0517,The Sow And The Wolf
0.8655,med-high,Preparedness for war is the best guarantee of peace.,fable_0214,"The Fox, The Boar And His Tusks",No one can be safe in peace unless they are always ready to face an enemy in case of war.,fable_0678,A Wolf and a Porcupine
0.8653,med-high,Do not attempt too much at once.,fable_0019,The Boy and the Filberts,Do not try to do impossible things.,fable_0292,The Wolves And The Hides
0.8651,med-high,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fable_0140,The Bird Catcher And The Viper,Bad neighbours are the first to suffer from the harm they would do to others.,fable_0349,The Farmer And The Fox
0.8651,med-high,Never put yourself in your enemy's clutches.,fable_0101,The Tortoise and the Birds,"Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",fable_0420,The Lion And The Unicorn
0.8648,med-high,A life of greed and hoarding wealth leads to misery.,fable_0333,The Fox And The Dragon,Even those who work hard may find their material wealth undone by the greed of others.,fable_0482,The Ants And The Pigs
0.8647,med-high,Do not believe everything you hear.,fable_0486,The Wolf And The Nurse,"It is dangerous to believe a story, and dangerous not to believe it.",fable_0539,Augustus And The Murder
0.8645,med-high,Do not try to gain favor by acting in a way that is contrary to your own nature and character.,fable_0294,The Donkey And The Pet Dog,Do not take pride in the good qualities that actually belong to someone else.,fable_0307,The Wolf And The Dog In Pursuit
0.8644,med-high,A discerning person is made wise by the misfortunes of his neighbours.,fable_0248,The Cicada And The Fox,A wise person readily tolerates the insolence of strangers when he sees those same strangers mistreating one another.,fable_0455,The Partridge And The Roosters
0.8644,med-high,Vanity can lead to self-destruction.,fable_0267,"The Birds, The Peacock And His Feathers",Pride and vanity leads to our downfall.,fable_0629,A Cuckow and a Hawk
0.8643,med-high,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle,Do not ask for more than you deserve.,fable_0515,Mercury And The Two Women
0.8643,med-high,Many people renounce wicked activities only because they are prevented from conducting them any longer.,fable_0663,A Hermit and a Soldier,"Many people give up their vices not out of a love for virtue, but because they can no longer continue indulging in them.",fable_0683,An Old Man resolv'd to give over Whoring
0.8642,med-high,Greed for more can lead to losing what you already have.,fable_0332,The Jackdaw And The Doves,Even those who work hard may find their material wealth undone by the greed of others.,fable_0482,The Ants And The Pigs
0.8638,med-high,Do not try to do impossible things.,fable_0292,The Wolves And The Hides,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
0.8637,med-high,Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
