query_idx,moral_text,gt_fable_idx,gt_fable_title,gt_moral_category,gt_themes,gt_rank,gt_score,top1_fable_idx,top1_fable_title,top1_moral_category,top1_themes,top1_score,score_gap
267,Vanity can lead to self-destruction.,267,"The Birds, The Peacock And His Feathers",vanity,vanity|exploitation|generosity|consequences,211,0.2981,183,The Frog And The Ox,pride,pride|envy|hubris|self-destruction,0.6042,0.3061
664,Do not fight with those who are perfectly capable of fighting back.,664,A Husband and Wife twice Married,wisdom,rivalry|spite|folly|conflict,104,0.4026,245,The Viper And The File,wisdom,futility|misguided attack|strength|ignorance,0.7083,0.3057
465,"Sometimes, those you support become your worst enemy.",465,The Thief And The Lamp,justice,sacrilege|divine justice|punishment|moral order,393,0.2914,538,The Doves And The Kite,deception,tyranny|deception|misplaced trust|freedom vs security,0.5969,0.3054
537,Every tale is not to be believed.,537,The Thief And The Innkeeper,deception,deception|cunning|gullibility|theft,39,0.4121,486,The Wolf And The Nurse,deception,false threats|deception|idle words|missed opportunity,0.7172,0.3051
286,A death-bed flattery is the worst of treacheries.,286,The Patient And His Symptoms,wisdom,irony|medicine|humor|wisdom,240,0.3939,44,The Fox and the Crow,vanity,flattery|vanity|deception|foolishness,0.6988,0.3049
412,Life's disasters can often bring boastful and presumptuous people back down to earth.,412,The Cowhide And The River,pride,strength|transformation|overconfidence|nature,136,0.3739,143,The Clay Pot And The Rain,hubris,hubris|fragility|pride|fate,0.6773,0.3033
10,Vices are their own punishment.,10,Avaricious and Envious,greed,envy|greed|spite|self-destruction,22,0.4922,557,The signification of the Punishments of Tartarus,fate,fate|punishment|human vices|eternal suffering,0.7935,0.3013
410,"When you lie, you often have to expand the lie.",410,The Man And The Statue Of Hermes,wisdom,irony|commerce|divine power|patience,280,0.2385,174,The Monkey And The Dolphin,deception,deception|lying|consequences|pride,0.5391,0.3005
534,"Pay attention to deeds, not words.",534,The Bird Catcher And The Cricket,wisdom,false assumptions|appearances deceive|disappointment|overestimation,21,0.4248,572,The Lion and The Bull,deception,deception|cunning|detection of plots|vigilance,0.7228,0.2979
210,Do not laugh at the calamity that befalls your neighbour.,210,The Blacksmiths And The Mouse,justice,poverty|shame|irony|survival,21,0.4929,340,The Hare And The Sparrow,justice,schadenfreude|irony|fate|justice,0.7905,0.2975
206,Men feel worst when they contribute to their own undoing.,206,The Sparrow And The Myrtle Berries,contentment,greed|temptation|self-destruction|contentment,207,0.3914,32,The Eagle and the Arrow,fate,fate|self-contribution|hubris|tragedy,0.6888,0.2973
670,We should not expect that our crimes will always go unpunished.,670,A Wicked Man and the Devil,justice,wickedness|consequences|limits of aid|justice,95,0.3925,465,The Thief And The Lamp,justice,sacrilege|divine justice|punishment|moral order,0.6891,0.2966
464,Fair weather friends are not worth much.,464,"The Raven, The Swallow And The Seasons",vanity,beauty|resilience|vanity|endurance,48,0.4682,694,A Man had a mind to try his Friends,friendship,friendship|fairness-weather friends|loyalty|true friendship,0.7647,0.2965
82,Enemies' promises were made to be broken.,82,The Nurse and the Wolf,deception,credulity|deception|empty threats|cunning,77,0.4869,420,The Lion And The Unicorn,deception,treachery|false mercy|betrayal|honour in victory,0.7822,0.2953
594,Never trust a known deceiver.,594,"The Lion, The Fox and the Deer",deception,deception|greed|manipulation|betrayal,141,0.3879,25,The Cat and the Mice,deception,deception|cunning|suspicion|survival,0.6828,0.2949
135,A mother's nurturing is stronger than a stepmother's attentions.,135,The Vegetables And The Weeds,nature,nature|providence|human effort|humility,21,0.3719,300,The Dog And The Lamb Among The Goats,friendship,family|nature|nurture|gratitude,0.6633,0.2914
636,Arrogant fools have no true influence.,636,A Fly upon a Wheel,vanity,vanity|self-importance|delusion|pride,111,0.4214,366,The Fly And The Mule,vanity,vanity|false threats|true authority|boasting,0.7078,0.2864
696,Be content with your lot.,696,About the hare seeking cunning and the fox seeking swiftness from Jupiter,nature,envy|natural order|balance|divine will,47,0.4828,555,The Author,contentment,human limitations|divine order|contentment|ambition,0.7692,0.2864
415,"Nobody believes people who are inherently wicked, even if they pretend to be good-natured.",415,"The Wolf, The Horse And The Barley",deception,cunning pretense|false generosity|predator and prey|deception,210,0.3556,137,"The Wolf, The Fox And The Monkey",justice,justice|reputation|judgment|deception,0.6402,0.2846
123,There is strength in restraint.,123,The Donkey And The Wild Boar,pride,dignity|insult|restraint|humor,162,0.3219,134,The Old Bull And The Young Bull,wisdom,restraint|mentorship|discipline|wisdom,0.6051,0.2832
562,Know your enemies.,562,The Cat and The Birds,deception,deception|predation|wariness|disguise,217,0.3218,337,The Hares And The Foxes,wisdom,alliance|wisdom|cowardice|self-preservation,0.6025,0.2807
355,"When wicked people do not get the reward and thanks they expect, they immediately put a stop to their good works.",355,The Wolves And The Harvesters,nature,reputation|futility|prejudice|nature,100,0.3895,479,The Man And The Weasel,ingratitude,false generosity|self-interest|ingratitude|deception,0.6674,0.2778
378,Chance sometimes rules.,378,The Fox And The Lion In A Cage,fate,misfortune|circumstance|insult|dignity,75,0.3720,361,The Fishermen And The Tuna Fish,fate,luck|fortune|unexpected reward|persistence,0.6472,0.2752
80,Enemies' promises are made to be broken.,80,The Mother and the Wolf,deception,deception|empty threats|credulity|trust,58,0.5144,420,The Lion And The Unicorn,deception,treachery|false mercy|betrayal|honour in victory,0.7892,0.2748
360,"We have to endure reversals of fortune, since we know that life is a matter of luck.",360,The Fishermen And The Stone,contentment,disappointment|expectation|resilience|acceptance,30,0.4312,369,The Horse And The Miller,fate,change of fortune|fate|nostalgia|acceptance,0.7057,0.2745
470,That is how life is: we must put up with less serious losses in order to avoid worse ones.,470,The Sailors And The Stones,wisdom,helplessness|irony|anger|nature,269,0.3782,625,A Husband-man and Ceres,hubris,ingratitude|unintended consequences|hubris|wisdom,0.6516,0.2734
224,Some people just won't change.,224,The Bull And The Calf,wisdom,experience|unsolicited advice|wisdom|age,46,0.2812,335,The Woman And Her Drunken Husband,wisdom,vice|ingenuity|futility|irony,0.5527,0.2714
569,Wit outshines skill.,569,"Zeus and Apollo, A Contest in Archery",hubris,divine power|hubris|contest|effortless superiority,11,0.4831,682,A Fox and a Hare,wisdom,cunning|speed|different abilities|competition,0.7522,0.2691
303,"They who act without sufficient thought, will often fall into unsuspected danger",303,The Dog And The Shellfish,wisdom,assumption|wisdom|consequences|foolishness,176,0.3561,45,The Fox and the Goat,deception,deception|cunning|foresight|trust,0.6231,0.2670
499,"One is known by deeds, not by words.",499,The Bear And The Fox,deception,hypocrisy|false virtue|actions vs words|pretense,22,0.4690,572,The Lion and The Bull,deception,deception|cunning|detection of plots|vigilance,0.7351,0.2662
344,People with a history of wrongdoing are often not trusted.,344,"The Farmer, The Wolf And The Plow",nature,nature|irony|habit|consequences,83,0.3278,137,"The Wolf, The Fox And The Monkey",justice,justice|reputation|judgment|deception,0.5936,0.2658
558,"Whatever happens, we must bear it with equanimity.",558,The Chariot Horse sold for the Mill,fate,decline|loss of glory|regret|misfortune,469,0.2521,523,"The Sheep, The Goat And The Sow",fate,fear of death|acceptance|perspective|fate,0.5162,0.2641
523,It is easy to be brave when there is no danger.,523,"The Sheep, The Goat And The Sow",fate,fear of death|acceptance|perspective|fate,10,0.5793,202,The Dogs And The Lion Skin,courage,courage|cowardice|mockery|strength,0.8391,0.2598
507,Be yourself and don't pretend to be someone you're not.,507,The Wolf And The Lame Donkey,wisdom,cunning|compassion exploited|consequences|self-determination,80,0.2672,332,The Jackdaw And The Doves,deception,identity|belonging|deception|consequences,0.5264,0.2592
531,The word of a wicked man can never be trusted.,531,The Wolf And The Donkey,deception,predatory pretense|irony|pain|deception,101,0.4570,261,The Crane And The Crow,trust,deception|friendship|prophecy|betrayal,0.7159,0.2590
374,Overly curious people often pay a very high price for recklessly indulging their curiosity.,374,The Hare And The Fox,deception,deception|trickery|curiosity|danger,554,0.2275,616,The Mouse and the Oyster,greed,greed|curiosity|self-destruction|temptation,0.4861,0.2586
138,Self-help is the best help.,138,The Crested Lark And The Farmer,wisdom,self-reliance|patience|wisdom|procrastination,8,0.5149,66,The Lark and Her Young Ones,wisdom,self-reliance|action|prudence|wisdom,0.7728,0.2579
191,Learn from past misfortunes.,191,"The Bat, The Booby And The Bramble Bush",fate,debt|loss|partnership|nature explanation,45,0.4328,68,"The Lion, the Fox, and the Ass",wisdom,cunning|power|survival|learning,0.6863,0.2535
631,The life of the poor is often safer than the life of the rich.,631,Capons Fat and Lean,pride,pride|vanity|fate|irony,125,0.3864,447,The Two Mules,contentment,greed|contentment|wealth|pride,0.6395,0.2531
63,The desire for imaginary benefits often involves the loss of present blessings.,63,The Kites and the Swans,nature,identity|ambition|folly|nature,97,0.4281,298,"The Dog, The Meat And The Reflection",greed,greed|illusion|contentment|loss,0.6786,0.2506
567,Avoid overindulgence,567,The boy and the tripe,wisdom,overindulgence|gluttony|maternal comfort|reassurance,13,0.3914,699,A Weak Young Man and a Wolfe,wisdom,exhaustion|irony|wit|consequence,0.6396,0.2483
650,Consider the consequences of your actions.,650,The Mice and the Oak,wisdom,sustainability|wisdom|short-sightedness|self-destruction,29,0.3895,375,The Fox And The Hare In The Well,wisdom,foresight|planning|recklessness|consequences,0.6377,0.2482
613,Nature reveals itself.,613,Orpheus and the Dogs,nature,nature vs nurture|transformation|inborn instincts|music and art,14,0.4090,147,Zeus And Prometheus,nature,nature|creation|fate|transformation,0.6552,0.2462
399,"Sometimes, the greatest threats come from those you trust.",399,The Halcyon And The Sea,trust,misplaced trust|false security|nature's betrayal|irony,53,0.4185,687,A Sheep-Biter Hang'd,trust,betrayal|trust|treachery|justice,0.6642,0.2457
581,Do not let your fancy make you forget realities.,581,The Wolf and his Shadow,pride,pride|overconfidence|illusion|downfall,139,0.3061,334,The Piece Of Driftwood,wisdom,expectation|disappointment|illusion|wisdom,0.5500,0.2440
318,Be content with your station.,318,"The Donkey, The Horse And The War",contentment,contentment|envy|consequences|wisdom,18,0.5501,200,The Beetle In The Air,ambition,ambition|overreach|contentment|nature,0.7902,0.2401
681,Possession is nine-tenths of the law.,681,A Hedge-Hog and a Snake,wisdom,hospitality|overstaying|cunning|assertiveness,37,0.3735,70,The Lion's Share,justice,power|greed|bullying|injustice,0.6094,0.2359
71,Wit always has an answer ready.,71,The Lost Wig,vanity,vanity|humor|self-acceptance|wit,189,0.3240,132,Aesop And The Shipbuilders,hubris,humor|wit|nature|hubris,0.5592,0.2352
42,Do unto others what you would have them do unto you.,42,The Fox and the Crane,justice,revenge|hospitality|trickery|justice,4,0.6293,626,A Country-man and a Hawk,justice,justice|hypocrisy|reciprocity|predation,0.8626,0.2333
632,What we are forced to do by a greater power and necessity is not truly our own action.,632,Oxen and a Piece of Timber,ingratitude,ingratitude|compulsion|forgiveness|understanding,27,0.4155,458,The Swan And His Owner,wisdom,timing|death|music|regret,0.6487,0.2332
485,Be yourself and don't pretend to be someone you're not.,485,The Lion And The Horse,deception,deception|cunning|self-defense|trickery,54,0.2940,332,The Jackdaw And The Doves,deception,identity|belonging|deception|consequences,0.5264,0.2324
557,"The meaning is to be considered, not the mere words.",557,The signification of the Punishments of Tartarus,fate,fate|punishment|human vices|eternal suffering,283,0.3141,80,The Mother and the Wolf,deception,deception|empty threats|credulity|trust,0.5459,0.2318
340,It is a foolish thing to give advice to others while not looking out for oneself.,340,The Hare And The Sparrow,justice,schadenfreude|irony|fate|justice,75,0.4702,476,The Soothsayer And The Theft,wisdom,hypocrisy|self-knowledge|irony|false expertise,0.7014,0.2312
540,Often there is more good to be found in one man than in a crowd of people.,540,The Mother And Her Three Daughters,wisdom,wisdom|human nature|inheritance|clever interpretation,348,0.3148,671,A Council of Birds for Chusing more Kings,wisdom,governance|corruption|greed|wisdom,0.5458,0.2310
249,Do not go chasing after things that are useless and unprofitable.,249,The Man And The Insect,wisdom,self-interest|uselessness|practicality|survival,80,0.3742,298,"The Dog, The Meat And The Reflection",greed,greed|illusion|contentment|loss,0.6038,0.2296
271,Do not boast to have something you do not.,271,"The Crow, The Eagle And The Feathers",pride,vanity|pride|justice|deception,23,0.4537,439,The Mole And The Frankincense,deception,self-deception|disability|false claims|maternal wisdom,0.6829,0.2293
207,There is no glory in tricking those easy to trick.,207,The Bird-Catcher And The Lark,deception,deception|naivety|trap|trust,48,0.4346,618,Aesop and the Athlete,pride,merit|real achievement|challenge|boasting,0.6624,0.2278
444,"In conflicts between powerful parties, bystanders may suffer unintended consequences.",444,"The Snake, The Weasel And The Mice",wisdom,common enemy|opportunism|shifting alliances|survival,4,0.4948,391,The Frogs And The Battle Of The Bulls,wisdom,collateral damage|power struggles|vulnerability|foresight,0.7221,0.2274
614,It's easy to put off today what can be done tomorrow.,614,The Dog's House,wisdom,procrastination|planning|laziness|self-deception,40,0.3252,706,An Old Man that was willing to put off Death,fate,death|denial|mortality|procrastination,0.5522,0.2270
51,Necessity is our strongest weapon.,51,The Hare and the Hound,wisdom,motivation|perspective|survival|effort,45,0.4701,192,The Bear And The Crabs,wisdom,cunning|hunting|nature|strategy,0.6960,0.2259
156,Do not mock the gods.,156,The Man And The Oracle,hubris,hubris|divine wisdom|testing fate|pride,109,0.3423,161,The Bald Man And The Gardener,pride,pride|insult|violence|consequences,0.5680,0.2257
599,Trust but verify.,599,The Wolf and The Ass,deception,hypocrisy|deception|political rhetoric|self-interest,137,0.3269,486,The Wolf And The Nurse,deception,false threats|deception|idle words|missed opportunity,0.5488,0.2219
7,An ounce of prevention is worth a pound of cure.,7,The Ass and the Mule,ingratitude,compassion|ingratitude|consequences|selfishness,115,0.3301,188,The Bat And The Songbird,wisdom,caution|learning from mistakes|too late wisdom|freedom,0.5516,0.2215
323,"Instead of looking at how things start, we should look instead at how they turn out in the end.",323,The Donkey And The Mule,justice,fairness|justice|consequences|wisdom,392,0.2550,697,A Plain Horse wins the Prize,wisdom,appearance|inner worth|judgment|performance over prestige,0.4757,0.2207
565,Don't be greedy.,565,The Swollen Fox,greed,greed|consequences|moderation|patience,19,0.3833,404,The Widow And Her Hen,greed,greed|overfeeding|unintended consequences|excess,0.6039,0.2207
140,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",140,The Bird Catcher And The Viper,fate,irony|fate|vigilance|consequences,25,0.6008,317,The Goat And The Donkey,deception,envy|deception|consequences|justice,0.8212,0.2204
196,Pretenders will be found out.,196,"The Bees, The Drones And The Wasps",justice,justice|labor|ownership|laziness,46,0.4335,562,The Cat and The Birds,deception,deception|predation|wariness|disguise,0.6532,0.2197
416,Each man makes his reputation in the field which is his specialty.,416,The Hunter And The Wolf,justice,downfall|power|nemesis|defeat,234,0.3414,270,Juno And The Peacock,contentment,fate|contentment|beauty|envy,0.5594,0.2180
351,"Charity begins at home, but this does not prevent the further exercise of it.",351,"The Farmer, The Wasps And The Partridges",wisdom,loyalty|self-interest|bargaining|wisdom,286,0.3043,210,The Blacksmiths And The Mouse,justice,poverty|shame|irony|survival,0.5220,0.2177
587,Act as you profess to believe.,587,"The Philosopher, The Ants, and Mercury",justice,divine providence|hypocrisy|judgment|perspective,34,0.3926,599,The Wolf and The Ass,deception,hypocrisy|deception|political rhetoric|self-interest,0.6095,0.2168
666,It's foolish to make decisions without understanding the nature of the matter at hand.,666,Wax and Brick,wisdom,nature|imitation|wisdom|self-knowledge,58,0.3421,359,The Monkey And The Fishing Net,wisdom,imitation|ignorance|foolishness|consequences,0.5574,0.2153
619,Pick your enemies.,619,The Crow and The Sheep,wisdom,bullying|cunning|power dynamics|survival,77,0.3753,607,The Mouse and The Frog,wisdom,rivalry|escalation|unexpected end|third party intervention,0.5890,0.2137
695,A false friend is the worst kind of enemy.,695,A Fox Praising Hare's Flesh,deception,cunning|deception|complaint|consequence,24,0.5678,687,A Sheep-Biter Hang'd,trust,betrayal|trust|treachery|justice,0.7813,0.2136
493,Unresolved issues can resurface when least expected.,493,The Camel In The River,nature,inversion|disorder|nature|irony,61,0.2086,609,The Fox and the Man counting waves,wisdom,futility|moving on|practical wisdom|anger management,0.4218,0.2133
125,Great achievements are often blocked by some small thing which prevents their realization.,125,The Camel And The Elephant,wisdom,leadership|judgment|pride|wisdom,265,0.2915,27,The Crow and the Pitcher,wisdom,ingenuity|persistence|problem-solving|wisdom,0.5021,0.2106
597,Flatterers and deceivers are not to be trusted.,597,"The Wolf, the Fox and the Gift",deception,false friendship|deception|consequences of trust|treachery,52,0.5739,44,The Fox and the Crow,vanity,flattery|vanity|deception|foolishness,0.7839,0.2101
596,Know yourself and your limits.,596,The Wolf and The Fox,pride,self-deception|pride|identity|foolishness,16,0.4644,627,A Swallow and a Spider,wisdom,overreach|ambition|knowing one's limits|wisdom,0.6739,0.2095
265,"If you try to deceive someone who has his wits about him, you will waste your time and be made fun of as well.",265,The Dogs And The Crocodiles,wisdom,danger|caution|cunning|survival,44,0.4507,25,The Cat and the Mice,deception,deception|cunning|suspicion|survival,0.6587,0.2081
442,The best intentions will not always ensure success.,442,The Monkey And Her Two Children,fate,parental favoritism|unintended harm|survival|irony,373,0.2723,440,The Mole And His Mother,hubris,disability|disorientation|hubris|irony,0.4794,0.2071
400,A fool will make excuses for foolish behavior.,400,The Hunter And The Horseman,deception,theft|deception|helplessness|false pretense,59,0.3807,238,The Cat And The Rooster,justice,pretext|tyranny|self-justification|power,0.5871,0.2065
510,Beware the sort of person who uses tricks.,510,The Farmer And The Birds,deception,deception|cunning|adaptation|learning,36,0.4557,485,The Lion And The Horse,deception,deception|cunning|self-defense|trickery,0.6616,0.2059
243,One bad turn deserves another.,243,The Fox And The Stork,justice,reciprocity|revenge|hospitality|justice,5,0.6663,42,The Fox and the Crane,justice,revenge|hospitality|trickery|justice,0.8684,0.2021
692,"When people won't listen to reason through kind means, they must be made to understand through harsh ones.",692,A Sheep picks a Quarrel with a Shepherd,justice,power|submission|futility of protest|oppression,14,0.5231,700,A Lad Robbing an Orchard,wisdom,authority|persistence|ineffectual warnings|action over words,0.7248,0.2016
103,Everyone is more or less master of his own fate.,103,The Traveler and Fortune,fate,fate|carelessness|self-blame|luck,5,0.5453,156,The Man And The Oracle,hubris,hubris|divine wisdom|testing fate|pride,0.7459,0.2006
504,Overconfidence often leads people into danger.,504,The Rooster And The Cats,trust,false loyalty|danger|overconfidence|betrayal,130,0.3496,484,The Goat And His Reflection,hubris,hubris|false courage|overconfidence|consequences,0.5495,0.1999
468,Do not blame others.,468,The Rivers And The Sea,nature,nature|blame|transformation|irony,11,0.4809,648,An Old Woman and the Devil,deception,blame-shifting|accountability|deception|responsibility,0.6799,0.1989
700,Those who won't learn from advice must be taught by experience.,700,A Lad Robbing an Orchard,wisdom,authority|persistence|ineffectual warnings|action over words,9,0.5069,256,The Farmer And The Pig,wisdom,stubbornness|repeated folly|punishment|consequences,0.7044,0.1975
572,"When a man has both an interest and an inclination to betray us, there's no trusting him.",572,The Lion and The Bull,deception,deception|cunning|detection of plots|vigilance,80,0.4778,296,The Wolves And The Dogs,deception,deception|freedom|trust|betrayal,0.6726,0.1948
41,Cunning often outwits itself.,41,"The Fox, the Cock and the Dog",deception,deception|cunning|vigilance|trickery,6,0.6664,488,"The Merchant, The Donkey And The Salt",deception,cunning|adaptability|cleverness|consequences,0.8611,0.1947
462,Desire things you don't understand and you accept the consequences.,462,The Raven And The Snake,greed,greed|danger|impulsiveness|consequences,107,0.2729,426,The Pigeon And The Painting,wisdom,illusion|thirst|fatality|appearance vs reality,0.4675,0.1946
649,Embrace your own strengths.,649,The Frogs and Tortoises,patience,patience|caution|envy|contentment,101,0.2646,627,A Swallow and a Spider,wisdom,overreach|ambition|knowing one's limits|wisdom,0.4590,0.1943
536,Trouble awaits you if you pursue ill-gotten gains.,536,The Shepherd And The Honeybees,greed,greed|consequences|natural defense|learning from experience,16,0.4605,432,The Wolf And The Lion,justice,theft|power|irony|moral hypocrisy,0.6548,0.1943
256,Only fools indulge into michief and excessive risks.,256,The Farmer And The Pig,wisdom,stubbornness|repeated folly|punishment|consequences,195,0.3513,427,The Lark In The Snare,contentment,regret|temptation|cost of desire|captivity,0.5448,0.1935
220,"Better poverty without care, than riches with.",220,The Fir Tree And The Bramble Bush,pride,pride|vulnerability|contentment|humility,30,0.4243,252,The City Mouse And The Country Mouse,contentment,contentment|luxury|safety|simplicity,0.6175,0.1932
549,Humble commonalty easily finds safety in obscurity.,549,The Battle of the Mice and the Weasels,hubris,leadership|pride|defeat|hubris,2,0.5959,358,The Fisherman And The Fish,fate,vulnerability|size|escape|luck,0.7890,0.1931
64,Sorrow not over what is lost forever,64,The Labourer and the Nightingale,wisdom,freedom|captivity|wisdom|tricks,68,0.3349,610,Prometheus and the tears,wisdom,sorrow|human nature|inevitability of tears|creation,0.5275,0.1926
424,Hypocritical speeches are easily seen through.,424,The Sheep And The Injured Wolf,trust,distrust|predator and prey|irony|false pity,61,0.4430,562,The Cat and The Birds,deception,deception|predation|wariness|disguise,0.6352,0.1922
219,An honest man's word is as good as his oath.,219,The Boys And The Butcher,deception,theft|deception|complicity|justice,52,0.3411,237,"The Cat, The Mouse And The Oath",deception,oaths|deception|gratitude|broken promises,0.5328,0.1917
239,Stay focused on your goals.,239,The Cat And The Stork,wisdom,flattery|cunning|persistence|dignity,244,0.1269,371,The Tortoise And The Hare,pride,overconfidence|persistence|humility|competition,0.3179,0.1911
339,God is the ultimate judge.,339,The Eagle And The Fox,justice,betrayal|justice|divine retribution|friendship,81,0.2980,587,"The Philosopher, The Ants, and Mercury",justice,divine providence|hypocrisy|judgment|perspective,0.4889,0.1909
90,"Regardless of our wishes, or even our intent, it is to our Nature alone that we will be faithful.",90,The Scorpion and the Ladybug,trust,trust|betrayal|friendship|nature,21,0.4649,251,The Monkey And The Lion's Breath,deception,flattery|tyranny|sycophancy|cunning,0.6556,0.1907
131,Success leads many astray to their ruin.,131,Aesop And The Hooligan,justice,justice|cunning|consequences|trickery,58,0.4612,549,The Battle of the Mice and the Weasels,hubris,leadership|pride|defeat|hubris,0.6484,0.1871
