query_moral_idx,query_moral,query_moral_category,top1_fable_idx,top1_moral_idx,top1_moral,top1_moral_category,shared_moral_category,moral_moral_sim,gt_rank,score_gap
332,Greed for more can lead to losing what you already have.,deception,235,235,People who grasp for more than they need are deprived of what they have.,greed,False,0.7626,235,0.4374
220,"Better poverty without care, than riches with.",pride,252,252,It is better to live in self-sufficient poverty than to be tormented by the worries of wealth.,contentment,False,0.7577,30,0.1932
659,"True worth should be measured by character and deeds, not by outward appearances.",vanity,370,370,Outside show is a poor substitute for inner worth.,vanity,True,0.7568,3,0.0708
228,"Unity is strength, while division invites defeat.",trust,511,511,Union gives strength.,wisdom,False,0.7536,4,0.0267
445,Appearances can be deceiving.,wisdom,677,677,"People are to be judged by their actions, not by their appearance.",deception,False,0.7523,21,0.3262
697,Appearances can be deceiving.,wisdom,677,677,"People are to be judged by their actions, not by their appearance.",deception,False,0.7523,6,0.0907
191,Learn from past misfortunes.,fate,68,68,Happy is the man who learns from the misfortunes of others.,wisdom,False,0.7505,45,0.2535
537,Every tale is not to be believed.,deception,486,486,Do not believe everything you hear.,deception,True,0.7430,39,0.3051
621,Every tale is not to be believed.,deception,486,486,Do not believe everything you hear.,deception,True,0.7430,104,0.3559
279,Those who are not content with what they have may end up losing it while pursuing greater desires.,greed,235,235,People who grasp for more than they need are deprived of what they have.,greed,True,0.7420,3,0.0614
631,The life of the poor is often safer than the life of the rich.,pride,447,447,"There is little risk in being poor, while being rich can get you into trouble.",contentment,False,0.7362,125,0.2531
247,Favor those who do you kindness.,wisdom,91,91,One good turn deserves another.,ingratitude,False,0.7347,9,0.0677
563,A fine coat is not always an indication of an attractive mind.,vanity,370,370,Outside show is a poor substitute for inner worth.,vanity,True,0.7294,3,0.0861
468,Do not blame others.,nature,648,648,Only untrustworthy people blame the consequences of their own actions on others.,deception,False,0.7260,11,0.1989
695,A false friend is the worst kind of enemy.,deception,687,687,An enemy in disguise is much more unforgivable than an open enemy.,trust,False,0.7178,24,0.2136
37,To do the right thing at the right season is a great art.,wisdom,645,645,All things are to be done in their own time.,wisdom,True,0.7167,2,0.0260
271,Do not boast to have something you do not.,pride,439,439,Boast of one thing and you will be found lacking in that and a few other things as well.,deception,False,0.7110,23,0.2293
663,Many people renounce wicked activities only because they are prevented from conducting them any longer.,wisdom,683,683,"Many people give up their vices not out of a love for virtue, but because they can no longer continue indulging in them.",wisdom,True,0.7070,2,0.0300
553,Life is a mixture of grief and joy.,wisdom,610,610,Sadness is a part of life.,wisdom,True,0.7059,2,0.0262
702,Seek the friendship of those who do not withdraw from offering help even in a time of adversity.,friendship,14,14,Misfortune tests the sincerity of friends.,friendship,True,0.7059,3,0.0596
230,"Those who take by force are met with resistance, while those who approach with humility may find unexpected generosity.",justice,450,450,Persuasion is better than Force.,wisdom,False,0.7045,2,0.0228
116,Seek to harm and harm shall find you.,deception,349,349,Bad neighbours are the first to suffer from the harm they would do to others.,justice,False,0.7017,9,0.0773
171,Be frank and open in your dealings.,justice,408,408,Honesty is the best policy.,greed,False,0.6970,16,0.0800
102,"If men had all they wished, they would be often ruined.",hubris,431,431,Be careful what you wish for; your wish may be granted.,wisdom,False,0.6932,7,0.1525
167,True value is wasted on those who cannot appreciate it.,contentment,26,26,Precious things are for those that can prize them.,contentment,True,0.6911,2,0.0271
509,Use care to place your blame on the right person.,justice,648,648,Only untrustworthy people blame the consequences of their own actions on others.,deception,False,0.6888,2,0.0161
305,Greed can lead to ruin.,greed,381,381,Greedy men chase after profit with such an intensity that they destroy themselves without achieving anything.,greed,True,0.6874,6,0.0934
460,No one gladly revisits a place where they got hurt.,wisdom,449,449,"When people feel grief for their misfortunes, they avoid the place where that grief overtook them.",fate,False,0.6836,3,0.1681
286,A death-bed flattery is the worst of treacheries.,wisdom,44,44,Do not trust flatterers.,vanity,False,0.6755,240,0.3049
536,Trouble awaits you if you pursue ill-gotten gains.,greed,432,432,Things you acquire through evil means can be taken from you by evil means.,justice,False,0.6743,16,0.1943
515,Do not ask for more than you deserve.,fate,235,235,People who grasp for more than they need are deprived of what they have.,greed,False,0.6721,462,0.3455
443,Tear out vice by the roots and the branches will wither away.,justice,611,611,"Destroy the seed of evil, or it will grow up to your ruin.",wisdom,False,0.6719,11,0.0906
31,"He who covets what belongs to another, deservedly loses his own.",greed,432,432,Things you acquire through evil means can be taken from you by evil means.,justice,False,0.6672,5,0.0938
403,Do not neglect small advantages in hopes of better ones.,wisdom,654,654,"Do not trade what might come, which is uncertain, for present opportunities, which can never be regained.",greed,False,0.6668,5,0.0294
118,No gratitude from the wicked.,ingratitude,34,34,The greatest kindness will not bind the ungrateful.,ingratitude,True,0.6641,37,0.3274
80,Enemies' promises are made to be broken.,deception,420,420,"Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",deception,True,0.6631,58,0.2748
199,Beware of empty promises made during good times.,friendship,521,521,"People are often quick to make promises, but they do not really expect to have to fulfill them.",deception,False,0.6593,4,0.0886
638,Men would bear their misfortunes more patiently if they considered the ones of others.,contentment,52,52,There is always someone worse off than yourself.,courage,False,0.6570,5,0.0651
436,Someone who cannot manage his own affairs is not qualified to give advice to his neighbours.,wisdom,87,87,"Those who would mend others, should first mend themselves.",deception,False,0.6563,2,0.0248
682,Wisdom is far superior to strength.,wisdom,512,512,"Where force is not enough, cleverness must be used instead.",wisdom,True,0.6557,4,0.1175
287,Few things are done except for profit.,deception,86,86,Self-interest alone moves some men.,greed,False,0.6527,17,0.1013
82,Enemies' promises were made to be broken.,deception,420,420,"Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",deception,True,0.6521,77,0.2953
693,Complaining is the privilege of the weak.,vanity,502,502,They complain most who suffer least.,ingratitude,False,0.6495,7,0.0575
172,Some men underrate their best blessings.,ingratitude,54,54,We often despise what is most useful to us.,vanity,False,0.6482,9,0.1369
622,"Value is what others think of you, not what you think of yourself.",pride,406,406,Vanity can blind one to their true worth in the eyes of others.,vanity,False,0.6476,2,0.0599
350,Do not take on more than you can handle.,wisdom,347,347,Do not try to grasp too much at once.,greed,False,0.6465,7,0.1133
477,What is most truly valuable is often underrated.,pride,26,26,Precious things are for those that can prize them.,contentment,False,0.6463,4,0.0743
476,Those who neglect their own affairs while meddling in others' lives often reveal their own shortcomings.,wisdom,550,550,"We are not able to see our own faults: but as soon as others make a slip, we are ready to censure.",wisdom,True,0.6458,4,0.1035
589,"Sometimes, Wicked people commit crime in haste but are not punished until much later.",justice,414,414,There is no fixed day on which wicked people are punished.,justice,True,0.6448,2,0.0142
701,A bird in the hand is worth two in the bush.,wisdom,654,654,"Do not trade what might come, which is uncertain, for present opportunities, which can never be regained.",greed,False,0.6436,6,0.0485
312,Do not give up friends for foes.,deception,595,595,Do not neglect the loyalty of old friends to please new acquaintances.,wisdom,False,0.6422,7,0.0900
169,People are often eager to treat their enemies well in the hopes of gaining something by it.,wisdom,420,420,"Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",deception,False,0.6386,14,0.0568
153,True value comes from usefulness.,wisdom,167,167,True value is wasted on those who cannot appreciate it.,contentment,False,0.6376,4,0.1127
197,"Evil wishes, like chickens, come home to roost.",courage,349,349,Bad neighbours are the first to suffer from the harm they would do to others.,justice,False,0.6370,13,0.1260
105,Obscurity often brings safety.,pride,358,358,"To be small is a way to stay safe and avoid problems, whereas you rarely see a man with a big reputation who is able to keep out of danger.",fate,False,0.6369,38,0.3467
512,"Where force is not enough, cleverness must be used instead.",wisdom,275,275,Tricksters can outsmart the strong.,deception,False,0.6354,2,0.0098
636,Arrogant fools have no true influence.,vanity,366,366,Ignore complainers who have no influence.,vanity,True,0.6336,111,0.2864
401,"It is often the case that people are greedy for things which they think will bring them honour, but which only result in their death and destruction.",hubris,381,381,Greedy men chase after profit with such an intensity that they destroy themselves without achieving anything.,greed,False,0.6302,35,0.1610
539,"It is dangerous to believe a story, and dangerous not to believe it.",justice,486,486,Do not believe everything you hear.,deception,False,0.6286,3,0.0657
444,"In conflicts between powerful parties, bystanders may suffer unintended consequences.",wisdom,391,391,Poor folk suffer when the high and mighty are at war with one another.,wisdom,True,0.6278,4,0.2274
654,"Do not trade what might come, which is uncertain, for present opportunities, which can never be regained.",greed,36,36,A little thing in hand is worth more than a great thing in prospect.,wisdom,False,0.6275,6,0.0614
195,What is valued in one group may be dismissed by another.,friendship,26,26,Precious things are for those that can prize them.,contentment,False,0.6266,13,0.1789
467,Familiarity can alleviate seemingly intractable problems.,patience,234,234,Familiarity mollifies even the most terrifying things.,wisdom,False,0.6236,3,0.0662
448,There's no reading of ourselves but with other mans eyes.,vanity,550,550,"We are not able to see our own faults: but as soon as others make a slip, we are ready to censure.",wisdom,False,0.6230,2,0.1165
51,Necessity is our strongest weapon.,wisdom,192,192,Hunger sharpens the wits.,wisdom,True,0.6161,45,0.2259
554,Avoid the gain that exposes to hazard.,wisdom,427,427,People are willing to risk their lives for the sake of some petty profit.,contentment,False,0.6116,24,0.1673
549,Humble commonalty easily finds safety in obscurity.,hubris,358,358,"To be small is a way to stay safe and avoid problems, whereas you rarely see a man with a big reputation who is able to keep out of danger.",fate,False,0.6097,2,0.1931
603,People that live by example need to look closely at the example they are following.,wisdom,527,527,Example is more powerful than precept.,wisdom,True,0.6072,3,0.1198
463,A change of place does not make you a saint.,wisdom,141,141,Changing your location does not change your state of mind.,nature,False,0.6054,2,0.0810
258,Wealth is of little value if one is too afraid to use or enjoy it.,courage,438,438,The true value of money is not in its possession but in its use.,greed,False,0.6050,4,0.0976
676,Every Season has its own work.,fate,645,645,All things are to be done in their own time.,wisdom,False,0.6043,11,0.1443
309,No one can be a friend if you know not whether to trust or distrust him.,trust,190,190,He that is neither one thing nor the other has no friends.,trust,True,0.6030,3,0.0171
692,"When people won't listen to reason through kind means, they must be made to understand through harsh ones.",justice,700,700,Those who won't learn from advice must be taught by experience.,wisdom,False,0.6010,14,0.2016
429,Those who thrive on deception often retaliate against those who speak the truth.,deception,301,301,Wicked liars generally get their just consequences.,justice,False,0.6004,34,0.1115
426,Caution is far superior to reckless haste and hurry.,wisdom,393,393,Look before you leap.,wisdom,True,0.6002,4,0.0622
459,One should never trust those with a history of deceit.,trust,420,420,"Do not ever trust your enemy. Always protect yourself from him, even if he comes to you humble and supplicating.",deception,False,0.5970,12,0.0774
303,"They who act without sufficient thought, will often fall into unsuspected danger",wisdom,45,45,Look before you leap.,deception,False,0.5961,176,0.2670
533,The man who treats others well is rewarded by gratitude.,ingratitude,0,0,Gratitude is the sign of noble souls.,friendship,False,0.5935,19,0.1586
340,It is a foolish thing to give advice to others while not looking out for oneself.,justice,476,476,Those who neglect their own affairs while meddling in others' lives often reveal their own shortcomings.,wisdom,False,0.5920,75,0.2312
110,It is not only fine feathers that make fine birds.,vanity,659,659,"True worth should be measured by character and deeds, not by outward appearances.",vanity,True,0.5898,3,0.1321
84,Trouble comes from the direction we least expect it.,fate,283,283,Watch on all sides.,fate,True,0.5895,2,0.0683
283,Watch on all sides.,fate,84,84,Trouble comes from the direction we least expect it.,fate,True,0.5895,2,0.0505
569,Wit outshines skill.,hubris,682,682,Wisdom is far superior to strength.,wisdom,False,0.5890,11,0.2691
464,Fair weather friends are not worth much.,vanity,694,694,True friends are hard to come by.,friendship,False,0.5876,48,0.2965
594,Never trust a known deceiver.,deception,25,25,He who is once deceived is doubly cautious.,deception,True,0.5871,141,0.2949
5,To be satisfied with one's lot is better than to desire something which one is not fitted to receive.,contentment,102,102,"If men had all they wished, they would be often ruined.",hubris,False,0.5870,9,0.1159
345,Do not boast too much at the height of your powers; people often spend their old age worn out with toil and trouble.,fate,598,598,Do not boast lest you be taken down.,pride,False,0.5867,13,0.0719
639,The shortest and surest way of doing things is best.,wisdom,585,585,Foresake the hard when an easier way is available.,wisdom,True,0.5780,2,0.0040
632,What we are forced to do by a greater power and necessity is not truly our own action.,ingratitude,458,458,Some people will agree to do things under compulsion that they are not willing to do as a favour.,wisdom,False,0.5761,27,0.2332
206,Men feel worst when they contribute to their own undoing.,contentment,32,32,How often do we supply our enemies with the means of our own destruction.,fate,False,0.5737,207,0.2973
470,That is how life is: we must put up with less serious losses in order to avoid worse ones.,wisdom,625,625,A small inconvenience is compensated for by a greater usefulness.,hubris,False,0.5723,269,0.2734
390,People who do harm to others destroy themselves in the bargain.,justice,197,197,"Evil wishes, like chickens, come home to roost.",courage,False,0.5714,11,0.1124
405,"We should never put our trust in a wicked man, even if he seems to be completely innocuous.",wisdom,620,620,Flatters are not to be trusted.,deception,False,0.5714,68,0.1570
123,There is strength in restraint.,pride,134,134,A mild disposition can put a stop to vicious behaviour.,wisdom,False,0.5661,162,0.2832
143,Do no overestimate your worth when your fate rests in the hands of the high and the mighty.,hubris,406,406,Vanity can blind one to their true worth in the eyes of others.,vanity,False,0.5660,21,0.1206
232,Experience teaches valuable lessons and encourages caution.,trust,248,248,A discerning person is made wise by the misfortunes of his neighbours.,deception,False,0.5652,8,0.0905
107,Equals make the best friends.,wisdom,108,108,The strong and the weak cannot keep company.,wisdom,True,0.5649,2,0.0181
108,The strong and the weak cannot keep company.,wisdom,107,107,Equals make the best friends.,wisdom,True,0.5649,3,0.0367
598,Do not boast lest you be taken down.,pride,338,338,Pride goes before destruction.,hubris,False,0.5635,2,0.0029
7,An ounce of prevention is worth a pound of cure.,ingratitude,188,188,Precautions are useless after the crisis.,wisdom,False,0.5631,115,0.2215
552,Better to endure a small hardship than risk a greater one.,contentment,625,625,A small inconvenience is compensated for by a greater usefulness.,hubris,False,0.5623,42,0.1741
674,Even beneficial things all appear to be drastic and sure to hurt for those those who are unfamiliar with them and inexperienced.,wisdom,56,56,Avoid a remedy that is worse than the disease.,trust,False,0.5616,10,0.0345
378,Chance sometimes rules.,fate,361,361,Luck often bestows the things that skill cannot obtain.,fate,True,0.5615,75,0.2752
383,Take pleasure when thieves destroy themselves.,ingratitude,343,343,Some people are so consumed by hatred that they would rather suffer themselves than see their enemies succeed.,pride,False,0.5606,8,0.0625
565,Don't be greedy.,greed,404,404,People who grasp at more than they need lose the little that they held in their hands.,greed,True,0.5584,19,0.2207
272,Many children are a great blessing; but a few good ones are a greater.,wisdom,377,377,Quality is more valuable than quantity.,pride,False,0.5559,3,0.1181
159,Everyone thinks themselves the best.,vanity,270,270,Be content with your lot; one cannot be first in everything.,contentment,False,0.5541,14,0.0790
372,A wicked person deservedly comes to a bad end by keeping company with other wicked people.,justice,525,525,You are judged by the company you keep.,justice,True,0.5530,3,0.0577
221,Inner beauty is better than outer beauty.,vanity,563,563,A fine coat is not always an indication of an attractive mind.,vanity,True,0.5519,3,0.0503
32,How often do we supply our enemies with the means of our own destruction.,fate,168,168,You should think twice before offering anything to your enemies.,ingratitude,False,0.5505,2,0.0498
355,"When wicked people do not get the reward and thanks they expect, they immediately put a stop to their good works.",nature,479,479,Those who act in their own self-interest while pretending to help others will not earn gratitude.,ingratitude,False,0.5491,100,0.2778
504,Overconfidence often leads people into danger.,trust,484,484,Do not overestimate yourself.,hubris,False,0.5488,130,0.1999
257,An alliance made with the high and mighty can never be trusted.,justice,538,538,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",deception,False,0.5484,2,0.0029
254,It is natural to be a knave; men must rise above.,deception,28,28,Men often revert to their natural instincts.,nature,False,0.5450,21,0.1351
679,"Save a Thief from the Gallows, and he'll cut your Throat.",ingratitude,34,34,The greatest kindness will not bind the ungrateful.,ingratitude,True,0.5450,2,0.0124
256,Only fools indulge into michief and excessive risks.,wisdom,427,427,People are willing to risk their lives for the sake of some petty profit.,contentment,False,0.5425,195,0.1935
599,Trust but verify.,deception,486,486,Do not believe everything you hear.,deception,True,0.5410,137,0.2219
528,We must make friends in prosperity if we would have their help in adversity.,justice,694,694,True friends are hard to come by.,friendship,False,0.5404,4,0.0497
269,Vanity betrays every fraud.,wisdom,95,95,A liar deceives no one but himself.,deception,False,0.5398,7,0.0888
6,Clumsy jesting is no joke.,contentment,218,218,Anything which is done at the wrong time is liable to be ridiculed.,wisdom,False,0.5357,15,0.1654
419,"It is not the place, nor the condition, but the mind alone that is responsible for our happiness.",fate,624,624,We should not love our homeland so much that we ignore the possibility of finding greater happiness elsewhere.,contentment,False,0.5349,47,0.1736
542,Tears don't always signify pity.,deception,293,293,False sympathy often masks selfish intentions.,deception,True,0.5348,2,0.0067
475,Even the favours of wicked people are frightening.,trust,679,679,"Save a Thief from the Gallows, and he'll cut your Throat.",ingratitude,False,0.5347,2,0.0698
329,One cannot circumvent his destiny.,fate,357,357,We had better bear our troubles bravely than try to escape them.,fate,True,0.5324,3,0.1303
236,Beware of when the powerful and the deceitful collaborate.,wisdom,538,538,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",deception,False,0.5286,4,0.0384
274,Beware of when the powerful and the deceitful collaborate.,wisdom,538,538,"The person who turns to a dishonest scoundrel for help in times of trouble will be ruined, not rescued.",deception,False,0.5286,51,0.1382
193,Sometimes one man toils while another profits.,wisdom,482,482,Even those who work hard may find their material wealth undone by the greed of others.,justice,False,0.5276,2,0.1711
399,"Sometimes, the greatest threats come from those you trust.",trust,687,687,An enemy in disguise is much more unforgivable than an open enemy.,trust,True,0.5267,53,0.2457
623,There is danger in the silent enemy.,wisdom,84,84,Trouble comes from the direction we least expect it.,fate,False,0.5260,42,0.1361
243,One bad turn deserves another.,justice,42,42,Do unto others what you would have them do unto you.,justice,True,0.5252,5,0.2021
400,A fool will make excuses for foolish behavior.,deception,238,238,Tyrants need no excuse.,justice,False,0.5214,59,0.2065
304,Enterprise is not to be judged in terms of its speed but its outcome.,pride,371,371,Slow and steady wins the race.,pride,True,0.5213,3,0.0487
662,Don't promise more than you can deliver.,wisdom,199,199,Beware of empty promises made during good times.,friendship,False,0.5195,5,0.0277
540,Often there is more good to be found in one man than in a crowd of people.,wisdom,671,671,"It is better by far to be governed by one chief, than by many.",wisdom,True,0.5188,348,0.2310
226,"When you are besieged by powerful people, you are subject to vicious attacks by anyone and everyone.",patience,391,391,Poor folk suffer when the high and mighty are at war with one another.,wisdom,False,0.5187,37,0.0962
607,When fools fight others run away with the prize.,wisdom,193,193,Sometimes one man toils while another profits.,wisdom,True,0.5187,2,0.1640
567,Avoid overindulgence,wisdom,699,699,Even the strongest can be brought low by unchecked desires.,wisdom,True,0.5183,13,0.2483
308,Benefits are refused by those who don't understand them.,ingratitude,172,172,Some men underrate their best blessings.,ingratitude,True,0.5173,17,0.0870
216,"What you have done to others will likewise be done to you, according to the same measure.",justice,454,454,People who have been treated with contempt repay the deed in kind.,justice,True,0.5172,3,0.0120
529,A coward by nature will always be a coward.,courage,259,259,"True courage involves overcoming fears, even when faced with intimidation.",courage,True,0.5151,2,0.0233
34,The greatest kindness will not bind the ungrateful.,ingratitude,0,0,Gratitude is the sign of noble souls.,friendship,False,0.5139,3,0.0319
152,"When someone with a wicked nature changes his appearance, his behaviour remains the same.",greed,685,685,"People should not be judged by their appearances, but by their actions.",deception,False,0.5131,11,0.1145
208,Rushing into pleasant invitations can lead to dire consequences.,deception,426,426,Caution is far superior to reckless haste and hurry.,wisdom,False,0.5130,36,0.1206
200,Disaster awaits the arrogant person who puts on airs: he will fail to get promoted and will lose his former position as well.,ambition,143,143,Do no overestimate your worth when your fate rests in the hands of the high and the mighty.,hubris,False,0.5124,41,0.1478
306,Take what you can get when you can get it.,deception,654,654,"Do not trade what might come, which is uncertain, for present opportunities, which can never be regained.",greed,False,0.5112,4,0.0420
268,Live your lives in the clothes that suit you.,pride,673,673,Not all things are suitable for all people.,wisdom,False,0.5106,26,0.1008
474,Some may choose mutual destruction over continued suffering.,courage,215,215,"It is good to set aside our deadly disputes and conflicts, since they put everyone's lives in jeopardy.",wisdom,False,0.5097,6,0.0495
83,Stoop to conquer.,hubris,225,225,People who enter into contests with unworthy opponents lower their own reputation.,pride,False,0.5095,2,0.0103
189,Do not always stick to the same course.,wisdom,585,585,Foresake the hard when an easier way is available.,wisdom,True,0.5076,5,0.0461
555,We must not require what is unreasonable.,contentment,102,102,"If men had all they wished, they would be often ruined.",hubris,False,0.5065,5,0.0238
224,Some people just won't change.,wisdom,335,335,It's hard to give up bad habits.,wisdom,True,0.5053,46,0.2714
198,No piece of luck can conceal a depraved nature.,nature,165,165,A wicked nature does not produce a good character.,ingratitude,False,0.5044,2,0.0054
298,Do not grasp at more than you need.,greed,19,19,Do not attempt too much at once.,greed,True,0.5017,9,0.1744
352,Those who complain about their duties often forget their own role in creating the situation.,justice,502,502,They complain most who suffer least.,ingratitude,False,0.5000,2,0.0260
