query_idx,query_moral,similar_moral_idx,similar_moral,sim
235,People who grasp for more than they need are deprived of what they have.,181,People often grasp for more than they need and thus lose the little they have.,0.9207
44,Do not trust flatterers.,43,Flatters are not to be trusted.,0.9202
317,People who lay traps for others bring about their own destruction.,204,Someone who lays a trap for others will fall victim to it himself.,0.9174
281,"In avoiding a lesser danger, one may inadvertently fall into a greater peril.",640,"When we are avoiding present dangers, we should not fall into even worse peril.",0.9172
640,"When we are avoiding present dangers, we should not fall into even worse peril.",281,"In avoiding a lesser danger, one may inadvertently fall into a greater peril.",0.9172
78,Try to please all and you end by pleasing none.,187,Those who seek to please everybody please nobody.,0.9147
187,Those who seek to please everybody please nobody.,78,Try to please all and you end by pleasing none.,0.9147
140,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",402,Those who scheme against others may ultimately fall victim to their own plots.,0.9103
402,Those who scheme against others may ultimately fall victim to their own plots.,140,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",0.9103
350,Do not take on more than you can handle.,508,Don't take on more than you can accomplish.,0.9016
508,Don't take on more than you can accomplish.,350,Do not take on more than you can handle.,0.9016
